,자치구별,연도,발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),사고당 사망률,사고당 부상률
0,소계,2020,35227,97.4,219,2.2,47513,479.4,0.006216822323785733,1.3487665710960344
1,종로구,2020,903,142.3,5,3.1,1224,769.8,0.005537098560354375,1.3554817275747508
2,중구,2020,955,145.7,6,4.5,1248,927.0,0.0062827225130890054,1.306806282722513
3,용산구,2020,890,92.9,12,4.9,1178,481.5,0.01348314606741573,1.3235955056179776
4,성동구,2020,1119,88.7,9,3.0,1481,492.8,0.00804289544235925,1.323503127792672
5,광진구,2020,869,73.9,4,1.1,1145,318.0,0.004602991944764097,1.3176064441887227
6,동대문구,2020,1448,118.7,10,2.8,1845,516.8,0.006906077348066298,1.274171270718232
7,중랑구,2020,1447,104.3,4,1.0,1952,488.5,0.0027643400138217,1.3489979267449896
8,성북구,2020,1275,86.9,7,1.6,1622,362.8,0.005490196078431373,1.272156862745098
9,강북구,2020,1087,110.9,3,1.0,1420,455.8,0.0027598896044158236,1.3063477460901565
10,도봉구,2020,741,66.9,7,2.1,990,302.4,0.009446693657219974,1.3360323886639676
11,노원구,2020,1462,87.1,5,0.9,2016,382.5,0.003419972640218878,1.3789329685362517
12,은평구,2020,953,62.1,14,2.9,1415,292.3,0.014690451206715634,1.484784889821616
13,서대문구,2020,928,88.7,6,1.9,1256,388.9,0.00646551724137931,1.353448275862069
14,마포구,2020,1272,92.9,13,3.4,1754,459.3,0.010220125786163521,1.378930817610063
15,양천구,2020,1344,77.9,7,1.5,1829,399.5,0.005208333333333333,1.3608630952380953
16,강서구,2020,1575,70.2,17,2.9,2131,363.7,0.010793650793650795,1.353015873015873
17,구로구,2020,1325,82.2,10,2.3,1810,418.5,0.007547169811320755,1.3660377358490565
18,금천구,2020,810,80.8,6,2.4,1084,437.4,0.007407407407407408,1.3382716049382717
19,영등포구,2020,2208,135.3,7,1.7,3102,761.5,0.003170289855072464,1.4048913043478262
20,동작구,2020,1307,108.1,10,2.5,1819,453.0,0.0076511094108645756,1.3917368018362664
21,관악구,2020,1444,99.9,13,2.6,1819,356.8,0.009002770083102494,1.2596952908587258
22,서초구,2020,2250,116.2,9,2.1,3075,716.7,0.004,1.3666666666666667
23,강남구,2020,3752,147.5,17,3.1,5189,953.8,0.00453091684434968,1.3829957356076759
24,송파구,2020,2595,97.3,11,1.6,3509,520.7,0.004238921001926782,1.3522157996146436
25,강동구,2020,1268,75.9,7,1.5,1600,344.8,0.005520504731861199,1.2618296529968454
26,소계,2021,33913,93.9,243,2.5,45223,464.5,0.007165393801786925,1.3335004275646507
27,종로구,2021,778,122.6,6,3.9,1050,682.8,0.007712082262210797,1.3496143958868894
28,중구,2021,854,113.3,3,2.3,1156,877.2,0.00351288056206089,1.3536299765807962
29,용산구,2021,1014,105.1,5,2.1,1369,576.9,0.004930966469428008,1.3500986193293885
30,성동구,2021,1057,84.6,8,2.7,1362,465.4,0.007568590350047304,1.2885525070955535
31,광진구,2021,922,78.7,4,1.1,1216,344.8,0.004338394793926247,1.3188720173535793
32,동대문구,2021,1390,113.4,17,4.8,1656,470.4,0.01223021582733813,1.1913669064748202
33,중랑구,2021,1373,98.6,7,1.8,1826,466.0,0.005098324836125273,1.3299344501092498
34,성북구,2021,1285,88.7,15,3.4,1606,364.9,0.011673151750972763,1.2498054474708171
35,강북구,2021,1017,109.4,6,2.0,1302,430.3,0.0058997050147492625,1.28023598820059
36,도봉구,2021,591,54.1,3,0.9,768,240.5,0.005076142131979695,1.299492385786802
37,노원구,2021,1413,84.4,8,1.6,1940,376.7,0.005661712668082095,1.372965322009908
38,은평구,2021,867,56.9,11,2.3,1218,255.3,0.012687427912341407,1.4048442906574394
39,서대문구,2021,930,90.9,9,2.9,1206,382.1,0.00967741935483871,1.2967741935483872
40,마포구,2021,1102,79.2,14,3.7,1573,415.4,0.012704174228675136,1.427404718693285
41,양천구,2021,1305,77.9,14,3.1,1692,375.6,0.010727969348659003,1.296551724137931
42,강서구,2021,1501,66.8,13,2.2,2042,352.2,0.008660892738174551,1.3604263824117255
43,구로구,2021,1350,84.0,9,2.1,1729,410.5,0.006666666666666667,1.2807407407407407
44,금천구,2021,827,81.5,16,6.5,1167,476.5,0.019347037484885126,1.411124546553809
45,영등포구,2021,2178,132.2,15,3.7,2967,740.1,0.006887052341597796,1.362258953168044
46,동작구,2021,1148,94.4,11,2.8,1520,385.4,0.009581881533101045,1.32404181184669
47,관악구,2021,1419,101.8,8,1.6,1829,366.2,0.005637773079633545,1.2889358703312193
48,서초구,2021,2118,112.2,8,1.9,2932,704.5,0.003777148253068933,1.3843248347497639
49,강남구,2021,3820,149.1,10,1.9,5175,962.3,0.002617801047120419,1.3547120418848169
50,송파구,2021,2607,97.6,14,2.1,3509,528.5,0.005370157268891446,1.3459915611814346
51,강동구,2021,1047,61.7,9,1.9,1413,302.9,0.008595988538681949,1.3495702005730659
52,소계,2022,33698,93.3,221,2.3,45329,468.9,0.0065582527152946764,1.3451540150750787
53,종로구,2022,974,154.0,3,2.0,1351,887.6,0.003080082135523614,1.3870636550308009
54,중구,2022,943,129.2,2,1.5,1212,926.7,0.0021208907741251328,1.2852598091198304
55,용산구,2022,1014,111.4,11,4.7,1330,570.1,0.010848126232741617,1.3116370808678501
56,성동구,2022,948,78.0,8,2.8,1222,424.0,0.008438818565400843,1.2890295358649788
57,광진구,2022,708,60.2,9,2.6,966,275.0,0.012711864406779662,1.3644067796610169
58,동대문구,2022,1534,124.0,12,3.4,1843,521.2,0.007822685788787484,1.2014341590612776
59,중랑구,2022,1401,99.2,10,2.6,1890,484.4,0.007137758743754461,1.3490364025695931
60,성북구,2022,1288,87.9,8,1.8,1626,367.9,0.006211180124223602,1.2624223602484472
61,강북구,2022,1044,112.0,6,2.0,1266,425.3,0.005747126436781609,1.2126436781609196
62,도봉구,2022,522,47.9,2,0.6,705,224.5,0.0038314176245210726,1.3505747126436782
63,노원구,2022,1384,82.5,6,1.2,1913,376.6,0.004335260115606936,1.3822254335260116
64,은평구,2022,918,59.9,9,1.9,1256,266.9,0.00980392156862745,1.3681917211328976
65,서대문구,2022,974,93.2,5,1.6,1303,407.8,0.00513347022587269,1.337782340862423
66,마포구,2022,1065,78.2,10,2.7,1483,394.9,0.009389671361502348,1.3924882629107982
67,양천구,2022,1165,70.6,8,1.8,1529,344.4,0.0068669527896995704,1.3124463519313305
68,강서구,2022,1606,71.1,15,2.6,2108,366.8,0.00933997509339975,1.3125778331257782
69,구로구,2022,1274,77.9,12,2.9,1691,404.1,0.009419152276295133,1.3273155416012559
70,금천구,2022,844,81.2,9,3.7,1152,474.4,0.01066350710900474,1.3649289099526067
71,영등포구,2022,1998,125.2,20,5.0,2707,680.0,0.01001001001001001,1.354854854854855
72,동작구,2022,1217,101.5,7,1.8,1651,422.9,0.005751848808545604,1.3566146261298275
73,관악구,2022,1172,83.5,9,1.8,1535,306.2,0.007679180887372013,1.3097269624573378
74,서초구,2022,2264,120.1,8,2.0,3391,830.2,0.0035335689045936395,1.497791519434629
75,강남구,2022,3709,140.0,16,3.0,5052,945.9,0.004313831221353465,1.3620922081423563
76,송파구,2022,2581,95.7,9,1.4,3594,540.8,0.003487020534676482,1.392483533514142
77,강동구,2022,1151,67.5,7,1.5,1553,334.7,0.006081668114682885,1.3492615117289313
78,소계,2023,33811,93.5,180,1.9,45414,471.2,0.005323711218242584,1.343172340362604
79,종로구,2023,988,155.2,8,5.3,1331,884.7,0.008097165991902834,1.347165991902834
80,중구,2023,931,134.7,3,2.3,1194,906.0,0.00322234156820623,1.2824919441460796
81,용산구,2023,996,107.4,11,4.8,1366,601.5,0.01104417670682731,1.3714859437751004
82,성동구,2023,919,75.8,6,2.1,1221,428.8,0.006528835690968444,1.3286180631120783
83,광진구,2023,717,61.4,4,1.1,899,256.0,0.005578800557880056,1.2538354253835426
84,동대문구,2023,1674,131.7,10,2.8,2039,566.6,0.005973715651135006,1.2180406212664276
85,중랑구,2023,1268,89.4,7,1.8,1704,439.8,0.005520504731861199,1.3438485804416405
86,성북구,2023,1256,85.9,8,1.8,1581,360.8,0.006369426751592357,1.2587579617834395
87,강북구,2023,972,105.0,5,1.7,1217,415.4,0.0051440329218107,1.2520576131687242
88,도봉구,2023,530,48.9,7,2.3,685,221.3,0.013207547169811321,1.2924528301886793
89,노원구,2023,1366,81.5,9,1.8,1869,371.6,0.006588579795021962,1.3682284040995607
90,은평구,2023,1039,67.1,7,1.5,1353,287.3,0.006737247353224254,1.302213666987488
91,서대문구,2023,916,86.9,4,1.2,1220,380.5,0.004366812227074236,1.331877729257642
92,마포구,2023,1250,91.2,14,3.7,1715,457.1,0.0112,1.372
93,양천구,2023,1221,74.3,5,1.1,1624,369.7,0.004095004095004095,1.33005733005733
94,강서구,2023,1518,67.7,9,1.6,2112,371.3,0.005928853754940711,1.391304347826087
95,구로구,2023,1359,83.5,5,1.2,1840,442.7,0.003679175864606328,1.3539367181751287
96,금천구,2023,876,82.6,7,2.9,1232,511.0,0.007990867579908675,1.4063926940639269
97,영등포구,2023,1900,119.6,7,1.8,2619,658.4,0.0036842105263157894,1.378421052631579
98,동작구,2023,1242,103.3,6,1.5,1668,428.0,0.004830917874396135,1.3429951690821256
99,관악구,2023,980,70.0,10,2.0,1252,251.5,0.01020408163265306,1.2775510204081633
100,서초구,2023,2168,114.9,7,1.7,3319,805.4,0.0032287822878228783,1.5309040590405905
101,강남구,2023,3926,145.7,7,1.3,5229,950.2,0.001782985226693836,1.3318899643402955
102,송파구,2023,2614,99.4,10,1.5,3603,545.9,0.0038255547054322878,1.3783473603672534
103,강동구,2023,1185,69.1,4,0.9,1522,328.5,0.0033755274261603376,1.2843881856540085
104,소계,2024,33465,92.9,212,2.2,44327,461.9,0.006334976841476169,1.3245779172269536
105,종로구,2024,917,146.0,5,3.3,1253,837.5,0.0054525627044711015,1.366412213740458
106,중구,2024,976,146.6,16,12.2,1236,942.0,0.01639344262295082,1.2663934426229508
107,용산구,2024,868,95.6,12,5.5,1174,540.5,0.013824884792626729,1.3525345622119815
108,성동구,2024,919,76.1,7,2.5,1155,410.6,0.007616974972796518,1.2568008705114255
109,광진구,2024,785,67.8,4,1.1,1018,292.0,0.005095541401273885,1.2968152866242038
110,동대문구,2024,1520,119.7,5,1.4,1906,531.5,0.003289473684210526,1.2539473684210527
111,중랑구,2024,1199,84.6,8,2.1,1623,421.2,0.006672226855713094,1.353628023352794
112,성북구,2024,1286,88.3,7,1.6,1628,374.2,0.005443234836702955,1.265940902021773
113,강북구,2024,877,95.8,5,1.7,1123,388.1,0.005701254275940707,1.2805017103762828
114,도봉구,2024,522,48.6,5,1.6,671,219.3,0.009578544061302681,1.28544061302682
115,노원구,2024,1288,77.3,5,1.0,1717,345.8,0.0038819875776397515,1.3330745341614907
116,은평구,2024,1218,79.0,2,0.4,1574,338.2,0.0016420361247947454,1.2922824302134648
117,서대문구,2024,818,77.6,6,1.9,1105,346.8,0.007334963325183374,1.3508557457212713
118,마포구,2024,1201,88.0,11,3.0,1641,440.2,0.009159034138218152,1.3663613655287261
119,양천구,2024,1274,78.0,7,1.6,1689,388.9,0.005494505494505495,1.3257456828885401
120,강서구,2024,1538,69.1,12,2.1,2001,355.9,0.007802340702210663,1.301040312093628
121,구로구,2024,1320,82.1,7,1.7,1736,421.4,0.005303030303030303,1.3151515151515152
122,금천구,2024,798,75.6,8,3.3,1071,448.0,0.010025062656641603,1.3421052631578947
123,영등포구,2024,1948,123.2,8,2.0,2643,665.5,0.004106776180698152,1.356776180698152
124,동작구,2024,1230,102.5,2,0.5,1615,416.9,0.0016260162601626016,1.3130081300813008
125,관악구,2024,1254,90.4,13,2.6,1581,319.0,0.01036682615629984,1.2607655502392345
126,서초구,2024,2027,106.6,17,4.1,2959,716.3,0.008386778490379871,1.4597927972372966
127,강남구,2024,3754,138.8,11,2.0,4863,863.4,0.002930207778369739,1.2954182205647309
128,송파구,2024,2500,95.5,20,3.0,3424,521.7,0.008,1.3696
129,강동구,2024,1428,79.9,9,1.9,1921,399.0,0.0063025210084033615,1.3452380952380953
