자치구별,연도,발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),사고당 사망률,사고당 부상률,CCTV설치대수
종로구,2020,903,142.3,5,3.1,1224,769.8,0.005537099,1.355481728,133
중구,2020,955,145.7,6,4.5,1248,927,0.006282723,1.306806283,330
용산구,2020,890,92.9,12,4.9,1178,481.5,0.013483146,1.323595506,402
성동구,2020,1119,88.7,9,3,1481,492.8,0.008042895,1.323503128,439
광진구,2020,869,73.9,4,1.1,1145,318,0.004602992,1.317606444,92
동대문구,2020,1448,118.7,10,2.8,1845,516.8,0.006906077,1.274171271,229
중랑구,2020,1447,104.3,4,1,1952,488.5,0.00276434,1.348997927,304
성북구,2020,1275,86.9,7,1.6,1622,362.8,0.005490196,1.272156863,353
강북구,2020,1087,110.9,3,1,1420,455.8,0.00275989,1.306347746,105
도봉구,2020,741,66.9,7,2.1,990,302.4,0.009446694,1.336032389,114
노원구,2020,1462,87.1,5,0.9,2016,382.5,0.003419973,1.378932969,159
은평구,2020,953,62.1,14,2.9,1415,292.3,0.014690451,1.48478489,371
서대문구,2020,928,88.7,6,1.9,1256,388.9,0.006465517,1.353448276,421
마포구,2020,1272,92.9,13,3.4,1754,459.3,0.010220126,1.378930818,147
양천구,2020,1344,77.9,7,1.5,1829,399.5,0.005208333,1.360863095,198
강서구,2020,1575,70.2,17,2.9,2131,363.7,0.010793651,1.353015873,141
구로구,2020,1325,82.2,10,2.3,1810,418.5,0.00754717,1.366037736,467
금천구,2020,810,80.8,6,2.4,1084,437.4,0.007407407,1.338271605,191
영등포구,2020,2208,135.3,7,1.7,3102,761.5,0.00317029,1.404891304,613
동작구,2020,1307,108.1,10,2.5,1819,453,0.007651109,1.391736802,73
관악구,2020,1444,99.9,13,2.6,1819,356.8,0.00900277,1.259695291,751
서초구,2020,2250,116.2,9,2.1,3075,716.7,0.004,1.366666667,"1,237"
강남구,2020,3752,147.5,17,3.1,5189,953.8,0.004530917,1.382995736,815
송파구,2020,2595,97.3,11,1.6,3509,520.7,0.004238921,1.3522158,438
강동구,2020,1268,75.9,7,1.5,1600,344.8,0.005520505,1.261829653,143
종로구,2021,778,122.6,6,3.9,1050,682.8,0.007712082,1.349614396,133
중구,2021,854,113.3,3,2.3,1156,877.2,0.003512881,1.353629977,330
용산구,2021,1014,105.1,5,2.1,1369,576.9,0.004930966,1.350098619,402
성동구,2021,1057,84.6,8,2.7,1362,465.4,0.00756859,1.288552507,439
광진구,2021,922,78.7,4,1.1,1216,344.8,0.004338395,1.318872017,92
