district_id,district,year,car_count,car_diff
1,종로구,2021,50049,-11.0
1,종로구,2022,50832,783.0
1,종로구,2023,51000,168.0
1,종로구,2024,50482,-518.0
2,중구,2021,53107,1947.0
2,중구,2022,60081,6974.0
2,중구,2023,57666,-2415.0
2,중구,2024,54332,-3334.0
3,용산구,2021,79486,3005.0
3,용산구,2022,79420,-66.0
3,용산구,2023,75436,-3984.0
3,용산구,2024,74001,-1435.0
4,성동구,2021,106435,905.0
4,성동구,2022,106035,-400.0
4,성동구,2023,104782,-1253.0
4,성동구,2024,104641,-141.0
5,광진구,2021,98658,-114.0
5,광진구,2022,99126,468.0
5,광진구,2023,97936,-1190.0
5,광진구,2024,97218,-718.0
6,동대문구,2021,98170,352.0
6,동대문구,2022,98574,404.0
6,동대문구,2023,99947,1373.0
6,동대문구,2024,102749,2802.0
7,중랑구,2021,114237,2120.0
7,중랑구,2022,114961,724.0
7,중랑구,2023,116523,1562.0
7,중랑구,2024,116575,52.0
8,성북구,2021,120909,1727.0
8,성북구,2022,122016,1107.0
8,성북구,2023,122811,795.0
8,성북구,2024,122135,-676.0
9,강북구,2021,75570,-511.0
9,강북구,2022,75148,-422.0
9,강북구,2023,75166,18.0
9,강북구,2024,74169,-997.0
10,도봉구,2021,95462,-389.0
10,도봉구,2022,95573,111.0
10,도봉구,2023,95623,50.0
10,도봉구,2024,94946,-677.0
11,노원구,2021,152701,533.0
11,노원구,2022,152305,-396.0
11,노원구,2023,152633,328.0
11,노원구,2024,152155,-478.0
12,은평구,2021,132052,2789.0
12,은평구,2022,133291,1239.0
12,은평구,2023,133469,178.0
12,은평구,2024,135047,1578.0
13,서대문구,2021,89578,1541.0
13,서대문구,2022,89435,-143.0
13,서대문구,2023,91862,2427.0
13,서대문구,2024,91650,-212.0
14,마포구,2021,119380,1069.0
14,마포구,2022,121250,1870.0
14,마포구,2023,122415,1165.0
14,마포구,2024,121943,-472.0
15,양천구,2021,151626,2268.0
15,양천구,2022,151251,-375.0
15,양천구,2023,151668,417.0
15,양천구,2024,151189,-479.0
16,강서구,2021,204246,-97.0
16,강서구,2022,206352,2106.0
16,강서구,2023,206104,-248.0
16,강서구,2024,204600,-1504.0
17,구로구,2021,144667,906.0
17,구로구,2022,146040,1373.0
17,구로구,2023,148719,2679.0
17,구로구,2024,147678,-1041.0
18,금천구,2021,88945,1497.0
18,금천구,2022,90508,1563.0
18,금천구,2023,92223,1715.0
18,금천구,2024,91975,-248.0
19,영등포구,2021,146625,3861.0
19,영등포구,2022,145946,-679.0
19,영등포구,2023,144662,-1284.0
19,영등포구,2024,144665,3.0
20,동작구,2021,105722,653.0
20,동작구,2022,106263,541.0
20,동작구,2023,106150,-113.0
20,동작구,2024,106362,212.0
21,관악구,2021,118943,-509.0
21,관악구,2022,118148,-795.0
21,관악구,2023,118886,738.0
21,관악구,2024,117936,-950.0
22,서초구,2021,178778,-2235.0
22,서초구,2022,176639,-2139.0
22,서초구,2023,176137,-502.0
22,서초구,2024,176628,491.0
23,강남구,2021,235796,602.0
23,강남구,2022,240480,4684.0
23,강남구,2023,250445,9965.0
23,강남구,2024,256099,5654.0
24,송파구,2021,245565,4591.0
24,송파구,2022,248750,3185.0
24,송파구,2023,245597,-3153.0
24,송파구,2024,244079,-1518.0
25,강동구,2021,152003,6877.0
25,강동구,2022,151875,-128.0
25,강동구,2023,153678,1803.0
25,강동구,2024,154522,844.0
