연도,구,소계,버스,지하철,택시
2021,종로구," 141,759,969 "," 57,821,751 "," 75,771,163 "," 8,167,055 "
2021,중구," 149,856,039 "," 39,190,006 "," 100,938,579 "," 9,727,454 "
2021,용산구," 87,031,985 "," 43,905,878 "," 32,335,411 "," 10,790,696 "
2021,성동구," 96,087,425 "," 31,552,270 "," 56,470,250 "," 8,064,905 "
2021,광진구," 95,731,490 "," 29,859,594 "," 56,633,974 "," 9,237,922 "
2021,동대문구," 97,942,712 "," 57,791,744 "," 31,218,408 "," 8,932,560 "
2021,중랑구," 79,293,944 "," 41,568,031 "," 29,571,182 "," 8,154,731 "
2021,성북구," 112,791,260 "," 67,929,727 "," 37,822,410 "," 7,039,123 "
2021,강북구," 88,255,787 "," 54,255,008 "," 28,068,271 "," 5,932,508 "
2021,도봉구," 67,739,876 "," 37,019,485 "," 25,198,610 "," 5,521,781 "
2021,노원구," 108,740,071 "," 46,165,813 "," 52,909,026 "," 9,665,232 "
2021,은평구," 110,416,503 "," 57,517,380 "," 45,319,869 "," 7,579,254 "
2021,서대문구," 95,958,124 "," 60,695,355 "," 28,742,860 "," 6,519,909 "
2021,마포구," 148,131,112 "," 56,944,960 "," 78,992,624 "," 12,193,528 "
2021,양천구," 83,179,122 "," 46,183,700 "," 30,359,568 "," 6,635,854 "
2021,강서구," 125,896,852 "," 52,107,668 "," 62,794,479 "," 10,994,705 "
2021,구로구," 123,387,880 "," 60,237,240 "," 56,036,771 "," 7,113,869 "
2021,금천구," 66,752,284 "," 42,139,004 "," 19,830,665 "," 4,782,615 "
2021,영등포구," 157,499,505 "," 61,964,048 "," 81,402,306 "," 14,133,151 "
2021,동작구," 109,377,406 "," 58,188,663 "," 45,706,535 "," 5,482,208 "
2021,관악구," 166,188,364 "," 81,960,533 "," 75,428,105 "," 8,799,726 "
2021,서초구," 191,318,304 "," 72,872,287 "," 104,225,039 "," 14,220,978 "
2021,강남구," 263,148,318 "," 93,477,395 "," 139,523,472 "," 30,147,451 "
2021,송파구," 166,423,657 "," 60,517,668 "," 89,719,740 "," 16,186,249 "
2021,강동구," 87,515,237 "," 32,292,610 "," 45,671,791 "," 9,550,836 "
2022,종로구," 164,935,619 "," 67,454,849 "," 89,319,867 "," 8,160,903 "
2022,중구," 176,154,824 "," 45,724,150 "," 120,765,784 "," 9,664,890 "
2022,용산구," 100,875,869 "," 50,537,978 "," 39,369,572 "," 10,968,319 "
2022,성동구," 106,165,626 "," 34,157,923 "," 64,269,063 "," 7,738,640 "
2022,광진구," 107,246,102 "," 33,234,902 "," 64,860,255 "," 9,150,945 "
2022,동대문구," 106,610,793 "," 63,284,045 "," 34,854,710 "," 8,472,038 "
2022,중랑구," 85,919,590 "," 46,033,124 "," 31,943,438 "," 7,943,028 "
2022,성북구," 126,169,567 "," 76,331,592 "," 43,239,120 "," 6,598,855 "
2022,강북구," 94,283,492 "," 57,994,006 "," 30,445,153 "," 5,844,333 "
2022,도봉구," 71,242,195 "," 38,900,295 "," 26,987,249 "," 5,354,651 "
2022,노원구," 117,486,557 "," 50,579,231 "," 57,264,326 "," 9,643,000 "
2022,은평구," 117,881,189 "," 61,790,167 "," 48,938,669 "," 7,152,353 "
2022,서대문구," 107,163,842 "," 68,059,904 "," 32,850,877 "," 6,253,061 "
2022,마포구," 169,324,041 "," 64,510,577 "," 91,948,749 "," 12,864,715 "
2022,양천구," 89,458,448 "," 49,938,837 "," 33,236,941 "," 6,282,670 "
2022,강서구," 136,615,826 "," 55,871,596 "," 69,470,943 "," 11,273,287 "
2022,구로구," 127,504,110 "," 61,042,525 "," 59,580,422 "," 6,881,163 "
2022,금천구," 70,056,965 "," 45,064,854 "," 20,465,940 "," 4,526,171 "
2022,영등포구," 174,830,984 "," 69,289,958 "," 91,890,433 "," 13,650,593 "
2022,동작구," 119,187,672 "," 62,588,194 "," 51,528,199 "," 5,071,279 "
2022,관악구," 183,319,578 "," 90,076,319 "," 84,916,033 "," 8,327,226 "
2022,서초구," 209,014,453 "," 78,195,534 "," 117,324,071 "," 13,494,848 "
2022,강남구," 293,965,811 "," 103,379,977 "," 161,272,441 "," 29,313,393 "
2022,송파구," 187,955,776 "," 67,415,209 "," 104,523,594 "," 16,016,973 "
2022,강동구," 93,924,693 "," 35,194,304 "," 49,416,957 "," 9,313,432 "
2023,종로구," 178,567,702 "," 70,681,425 "," 100,748,476 "," 7,137,801 "
2023,중구," 202,324,327 "," 48,721,660 "," 144,615,589 "," 8,987,078 "
2023,용산구," 107,760,931 "," 54,008,803 "," 44,222,766 "," 9,529,362 "
2023,성동구," 111,717,923 "," 35,237,767 "," 70,179,191 "," 6,300,965 "
2023,광진구," 111,528,164 "," 34,809,718 "," 69,506,034 "," 7,212,412 "
2023,동대문구," 111,611,079 "," 67,437,050 "," 37,821,239 "," 6,352,790 "
2023,중랑구," 88,060,625 "," 48,356,010 "," 33,835,684 "," 5,868,931 "
2023,성북구," 131,105,290 "," 79,361,062 "," 46,809,536 "," 4,934,692 "
2023,강북구," 95,421,485 "," 59,000,850 "," 32,266,378 "," 4,154,257 "
2023,도봉구," 71,661,572 "," 39,783,107 "," 28,321,911 "," 3,556,554 "
2023,노원구," 119,823,856 "," 51,726,460 "," 61,347,921 "," 6,749,475 "
2023,은평구," 120,374,400 "," 63,338,467 "," 51,822,570 "," 5,213,363 "
2023,서대문구," 113,855,153 "," 72,292,718 "," 36,582,300 "," 4,980,135 "
2023,마포구," 182,982,275 "," 68,374,401 "," 103,281,308 "," 11,326,566 "
2023,양천구," 91,670,267 "," 51,701,808 "," 35,246,960 "," 4,721,499 "
2023,강서구," 141,725,103 "," 57,398,643 "," 75,470,439 "," 8,856,021 "
2023,구로구," 131,422,494 "," 62,850,315 "," 63,065,182 "," 5,506,997 "
2023,금천구," 71,105,776 "," 46,171,676 "," 21,372,019 "," 3,562,081 "
2023,영등포구," 184,031,098 "," 72,387,873 "," 100,244,057 "," 11,399,168 "
2023,동작구," 122,261,047 "," 62,446,828 "," 55,771,179 "," 4,043,040 "
2023,관악구," 186,640,714 "," 89,284,855 "," 90,767,121 "," 6,588,738 "
2023,서초구," 217,494,174 "," 78,646,999 "," 127,350,104 "," 11,497,071 "
2023,강남구," 306,070,238 "," 104,997,484 "," 175,606,259 "," 25,466,495 "
2023,송파구," 197,679,387 "," 69,881,907 "," 115,250,643 "," 12,546,837 "
2023,강동구," 94,011,660 "," 35,282,772 "," 51,997,375 "," 6,731,513 "
2024,종로구," 186,553,232 "," 74,208,386 "," 103,323,781 "," 9,021,065 "
2024,중구," 216,622,466 "," 52,435,264 "," 152,294,765 "," 11,892,437 "
2024,용산구," 115,155,774 "," 56,796,253 "," 45,863,450 "," 12,496,071 "
2024,성동구," 118,721,700 "," 37,079,391 "," 73,862,010 "," 7,780,299 "
2024,광진구," 115,686,552 "," 36,851,896 "," 70,329,994 "," 8,504,662 "
2024,동대문구," 117,287,598 "," 70,686,857 "," 39,182,683 "," 7,418,058 "
2024,중랑구," 90,693,667 "," 49,857,596 "," 34,271,820 "," 6,564,251 "
2024,성북구," 135,254,268 "," 81,559,692 "," 47,802,034 "," 5,892,542 "
2024,강북구," 97,599,102 "," 60,149,464 "," 32,634,332 "," 4,815,306 "
2024,도봉구," 74,280,229 "," 40,702,065 "," 29,260,920 "," 4,317,244 "
2024,노원구," 127,177,261 "," 53,541,282 "," 65,760,380 "," 7,875,599 "
2024,은평구," 124,945,537 "," 65,746,264 "," 52,739,892 "," 6,459,381 "
2024,서대문구," 118,572,562 "," 75,152,493 "," 37,369,540 "," 6,050,529 "
2024,마포구," 193,806,111 "," 71,954,538 "," 107,502,551 "," 14,349,022 "
2024,양천구," 94,359,714 "," 52,935,254 "," 35,719,191 "," 5,705,269 "
2024,강서구," 147,998,353 "," 58,712,738 "," 78,419,782 "," 10,865,833 "
2024,구로구," 134,451,191 "," 64,242,239 "," 63,648,432 "," 6,560,520 "
2024,금천구," 71,518,788 "," 45,829,736 "," 21,506,116 "," 4,182,936 "
2024,영등포구," 192,291,682 "," 74,379,751 "," 103,831,744 "," 14,080,187 "
2024,동작구," 127,517,515 "," 65,399,210 "," 57,208,566 "," 4,909,739 "
2024,관악구," 191,528,043 "," 91,648,849 "," 92,102,308 "," 7,776,886 "
2024,서초구," 225,955,483 "," 81,739,104 "," 130,172,545 "," 14,043,834 "
2024,강남구," 322,927,844 "," 111,266,706 "," 179,953,430 "," 31,707,708 "
2024,송파구," 208,052,956 "," 71,926,631 "," 120,662,352 "," 15,463,973 "
2024,강동구," 102,160,042 "," 38,033,929 "," 55,794,880 "," 8,331,233 "
