년월,시도명,시군구,승용관용,승용자가용,승용영업용,승용계,승합관용,승합자가용,승합영업용,승합계,화물관용,화물자가용,화물영업용,화물계,특수관용,특수자가용,특수영업용,특수계,관용,자가용,영업용,계
202111 ,서울,강남구,153,200,280,18,573,219,6,52,4,413,619,5,84,176,13,859,1,592,15,627
202111 ,서울,강동구,104,127,104,5,196,132,404,43,3,722,680,4,445,154,12,567,2,454,15,175
202111 ,서울,강북구,103,60,921,2,143,63,167,65,2,559,719,3,343,131,7,294,1,280,8,705
202111 ,서울,강서구,127,163,906,12,402,176,435,44,5,8,1,375,6,427,156,16,765,4,28,20
202111 ,서울,관악구,94,99,276,3,32,102,402,49,3,646,317,4,12,151,9,422,2,98,11,671
202111 ,서울,광진구,87,79,869,3,65,83,21,43,2,515,390,2,948,162,10,377,1,594,12,133
202111 ,서울,구로구,102,112,990,9,911,123,3,64,4,745,636,5,445,132,14,89,2,692,16,913
202111 ,서울,금천구,45,69,633,3,432,73,110,22,3,151,481,3,654,68,10,782,2,269,13,119
202111 ,서울,노원구,87,128,533,5,630,134,250,52,3,939,857,4,848,167,10,356,2,111,12,634
202111 ,서울,도봉구,91,76,733,4,540,81,364,52,2,813,576,3,441,130,8,491,2,8,10,629
202111 ,서울,동대문구,109,80,98,2,519,82,726,55,3,46,129,3,230,145,9,993,2,160,12,298
202111 ,서울,동작구,111,93,445,1,187,94,743,52,2,649,141,2,842,146,6,989,1,218,8,353
202111 ,서울,마포구,103,100,908,4,449,105,460,53,2,946,600,3,599,165,9,632,2,145,11,942
202111 ,서울,서대문구,204,74,673,3,262,78,139,104,2,349,420,2,873,138,6,73,1,874,8,85
202111 ,서울,서초구,208,151,731,4,967,156,906,128,3,410,741,4,279,178,10,944,4,856,15,978
202111 ,서울,성동구,122,82,510,9,466,92,98,43,2,245,876,3,164,162,8,625,2,122,10,909
202111 ,서울,성북구,94,103,399,2,232,105,725,44,3,321,1,133,4,498,148,8,932,1,719,10
202111 ,서울,송파구,126,202,495,6,501,209,122,94,4,679,1,633,6,406,157,25,702,5,23,30
202111 ,서울,양천구,120,127,29,4,528,131,677,57,3,578,769,4,404,136,11,574,2,817,14,527
202111 ,서울,영등포구,132,117,4,3,713,120,849,55,4,317,172,4,544,173,14,929,4,250,19,352
202111 ,서울,용산구,136,69,803,1,1,70,940,55,2,80,60,2,195,136,5,284,1,78,6,498
202111 ,서울,은평구,101,111,694,3,980,115,775,45,3,671,746,4,462,146,10,422,1,934,12,502
202111 ,서울,종로구,1,699,39,25,741,41,465,1,645,1,652,256,3,553,358,3,922,874,5,154
202111 ,서울,중구,285,48,37,3,83,51,405,760,1,962,270,2,992,183,4,858,1,855,6,896
202111 ,서울,중랑구,78,88,967,5,742,94,787,33,3,608,556,4,197,126,11,940,2,780,14,846
202111 ,서울,계,4,621,2,610,63,125,295,2,739,979,3,709,82,24,15,152,100,885,3,924
202112 ,서울,강남구,152,200,358,18,151,218,661,54,4,348,611,5,13,179,13,747,1,620,15,546
202112 ,서울,강동구,105,126,873,5,211,132,189,42,3,721,678,4,441,154,12,534,2,460,15,148
202112 ,서울,강북구,102,60,845,2,139,63,86,63,2,556,719,3,338,130,7,294,1,280,8,704
202112 ,서울,강서구,125,164,486,12,485,177,96,46,5,3,1,360,6,409,157,16,804,4,28,20
202112 ,서울,관악구,94,99,15,3,42,102,151,50,3,619,310,3,979,152,9,380,2,94,11,626
202112 ,서울,광진구,88,79,766,3,98,82,952,44,2,507,391,2,942,163,10,386,1,594,12,143
202112 ,서울,구로구,102,112,959,10,31,123,92,64,4,738,629,5,431,133,14,95,2,690,16,918
202112 ,서울,금천구,44,69,563,3,560,73,167,22,3,143,482,3,647,68,10,774,2,260,13,102
202112 ,서울,노원구,87,128,613,5,715,134,415,52,3,919,862,4,833,169,10,314,2,117,12,600
202112 ,서울,도봉구,92,76,683,4,513,81,288,52,2,788,575,3,415,131,8,483,2,7,10,621
202112 ,서울,동대문구,111,80,187,2,479,82,777,55,3,32,129,3,216,146,9,945,2,161,12,252
202112 ,서울,동작구,111,93,439,1,182,94,732,53,2,621,141,2,815,147,6,944,1,223,8,314
202112 ,서울,마포구,102,100,945,4,417,105,464,55,2,928,596,3,579,166,9,632,2,156,11,954
202112 ,서울,서대문구,203,74,574,3,165,77,942,104,2,331,415,2,850,138,6,43,1,866,8,47
202112 ,서울,서초구,207,151,378,4,952,156,537,128,3,374,721,4,223,177,10,912,4,875,15,964
202112 ,서울,성동구,120,82,640,10,411,93,171,43,2,224,880,3,147,161,8,648,2,162,10,971
202112 ,서울,성북구,95,103,283,2,190,105,568,44,3,306,1,126,4,476,149,8,915,1,717,10
202112 ,서울,송파구,125,202,318,6,531,208,974,95,4,670,1,632,6,397,160,25,629,5,56,30
202112 ,서울,양천구,119,127,140,4,538,131,797,58,3,555,768,4,381,136,11,571,2,807,14,514
202112 ,서울,영등포구,132,117,96,3,707,120,935,57,4,303,171,4,531,177,15,23,4,241,19,441
202112 ,서울,용산구,135,69,749,1,1,70,885,55,2,80,60,2,195,137,5,303,1,82,6,522
202112 ,서울,은평구,100,111,829,3,997,115,926,46,3,631,745,4,422,149,10,396,1,939,12,484
