년월,시도명,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,서울,강남구,153,200,280,573,219,6,4,413,619,84,176,13
202111 ,서울,강동구,104,127,104,196,132,404,3,722,680,445,154,12
202111 ,서울,강북구,103,60,921,143,63,167,2,559,719,343,131,7
202111 ,서울,강서구,127,163,906,402,176,435,5,8,1,6,427,156
202111 ,서울,관악구,94,99,276,32,102,402,3,646,317,12,151,9
202111 ,서울,광진구,87,79,869,65,83,21,2,515,390,948,162,10
202111 ,서울,구로구,102,112,990,911,123,3,4,745,636,445,132,14
202111 ,서울,금천구,45,69,633,432,73,110,3,151,481,654,68,10
202111 ,서울,노원구,87,128,533,630,134,250,3,939,857,848,167,10
202111 ,서울,도봉구,91,76,733,540,81,364,2,813,576,441,130,8
202111 ,서울,동대문구,109,80,98,519,82,726,3,46,129,230,145,9
202111 ,서울,동작구,111,93,445,187,94,743,2,649,141,842,146,6
202111 ,서울,마포구,103,100,908,449,105,460,2,946,600,599,165,9
202111 ,서울,서대문구,204,74,673,262,78,139,2,349,420,873,138,6
202111 ,서울,서초구,208,151,731,967,156,906,3,410,741,279,178,10
202111 ,서울,성동구,122,82,510,466,92,98,2,245,876,164,162,8
202111 ,서울,성북구,94,103,399,232,105,725,3,321,1,4,498,148
202111 ,서울,송파구,126,202,495,501,209,122,4,679,1,6,406,157
202111 ,서울,양천구,120,127,29,528,131,677,3,578,769,404,136,11
202111 ,서울,영등포구,132,117,4,713,120,849,4,317,172,544,173,14
202111 ,서울,용산구,136,69,803,1,70,940,2,80,60,195,136,5
202111 ,서울,은평구,101,111,694,980,115,775,3,671,746,462,146,10
202111 ,서울,종로구,1,699,39,741,41,465,645,1,652,3,553,358
202111 ,서울,중구,285,48,37,83,51,405,1,962,270,992,183,4
202111 ,서울,중랑구,78,88,967,742,94,787,3,608,556,197,126,11
202112 ,서울,강남구,152,200,358,151,218,661,4,348,611,13,179,13
202112 ,서울,강동구,105,126,873,211,132,189,3,721,678,441,154,12
202112 ,서울,강북구,102,60,845,139,63,86,2,556,719,338,130,7
202112 ,서울,강서구,125,164,486,485,177,96,5,3,1,6,409,157
202112 ,서울,관악구,94,99,15,42,102,151,3,619,310,979,152,9
