사망자수(명),심각정도,발생건수(건),부상자수(명),사고당사망률,사고당부상률,CCTV설치대수
5,낮음,903,1224,0.0055,1.3555,231
6,낮음,955,1248,0.0063,1.3068,352
12,보통,890,1178,0.0135,1.3236,625
9,보통,1119,1481,0.008,1.3235,386
4,낮음,869,1145,0.0046,1.3176,194
10,보통,1448,1845,0.0069,1.2742,223
4,낮음,1447,1952,0.0028,1.349,992
7,낮음,1275,1622,0.0055,1.2722,209
3,낮음,1087,1420,0.0028,1.3063,545
7,낮음,741,990,0.0094,1.336,154
5,낮음,1462,2016,0.0034,1.3789,383
14,보통,953,1415,0.0147,1.4848,391
6,낮음,928,1256,0.0065,1.3534,595
13,보통,1272,1754,0.0102,1.3789,298
7,낮음,1344,1829,0.0052,1.3609,346
17,심각,1575,2131,0.0108,1.353,362
10,보통,1325,1810,0.0075,1.366,749
6,낮음,810,1084,0.0074,1.3383,514
7,낮음,2208,3102,0.0032,1.4049,1307
10,보통,1307,1819,0.0077,1.3917,430
13,보통,1444,1819,0.009,1.2597,402
9,보통,2250,3075,0.004,1.3667,419
17,심각,3752,5189,0.0045,1.383,909
11,보통,2595,3509,0.0042,1.3522,235
7,낮음,1268,1600,0.0055,1.2618,614
6,낮음,778,1050,0.0077,1.3496,86
3,낮음,854,1156,0.0035,1.3536,416
5,낮음,1014,1369,0.0049,1.3501,431
8,낮음,1057,1362,0.0076,1.2886,294
4,낮음,922,1216,0.0043,1.3189,744
17,심각,1390,1656,0.0122,1.1914,197
7,낮음,1373,1826,0.0051,1.3299,604
15,보통,1285,1606,0.0117,1.2498,407
6,낮음,1017,1302,0.0059,1.2802,408
3,낮음,591,768,0.0051,1.2995,545
8,낮음,1413,1940,0.0057,1.373,213
11,보통,867,1218,0.0127,1.4048,519
9,보통,930,1206,0.0097,1.2968,216
14,보통,1102,1573,0.0127,1.4274,177
14,보통,1305,1692,0.0107,1.2966,355
13,보통,1501,2042,0.0087,1.3604,440
9,보통,1350,1729,0.0067,1.2807,684
