자치구별,연도,발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명)
소계,2020,"35,227",97.4,219,2.2,"47,513",479.4
종로구,2020,903,142.3,5,3.1,"1,224",769.8
중구,2020,955,145.7,6,4.5,"1,248",927.0
용산구,2020,890,92.9,12,4.9,"1,178",481.5
성동구,2020,"1,119",88.7,9,3.0,"1,481",492.8
광진구,2020,869,73.9,4,1.1,"1,145",318.0
동대문구,2020,"1,448",118.7,10,2.8,"1,845",516.8
중랑구,2020,"1,447",104.3,4,1.0,"1,952",488.5
성북구,2020,"1,275",86.9,7,1.6,"1,622",362.8
강북구,2020,"1,087",110.9,3,1.0,"1,420",455.8
도봉구,2020,741,66.9,7,2.1,990,302.4
노원구,2020,"1,462",87.1,5,0.9,"2,016",382.5
은평구,2020,953,62.1,14,2.9,"1,415",292.3
서대문구,2020,928,88.7,6,1.9,"1,256",388.9
마포구,2020,"1,272",92.9,13,3.4,"1,754",459.3
양천구,2020,"1,344",77.9,7,1.5,"1,829",399.5
강서구,2020,"1,575",70.2,17,2.9,"2,131",363.7
구로구,2020,"1,325",82.2,10,2.3,"1,810",418.5
금천구,2020,810,80.8,6,2.4,"1,084",437.4
영등포구,2020,"2,208",135.3,7,1.7,"3,102",761.5
동작구,2020,"1,307",108.1,10,2.5,"1,819",453.0
관악구,2020,"1,444",99.9,13,2.6,"1,819",356.8
서초구,2020,"2,250",116.2,9,2.1,"3,075",716.7
강남구,2020,"3,752",147.5,17,3.1,"5,189",953.8
송파구,2020,"2,595",97.3,11,1.6,"3,509",520.7
강동구,2020,"1,268",75.9,7,1.5,"1,600",344.8
소계,2021,"33,913",93.9,243,2.5,"45,223",464.5
종로구,2021,778,122.6,6,3.9,"1,050",682.8
중구,2021,854,113.3,3,2.3,"1,156",877.2
용산구,2021,"1,014",105.1,5,2.1,"1,369",576.9
성동구,2021,"1,057",84.6,8,2.7,"1,362",465.4
광진구,2021,922,78.7,4,1.1,"1,216",344.8
동대문구,2021,"1,390",113.4,17,4.8,"1,656",470.4
중랑구,2021,"1,373",98.6,7,1.8,"1,826",466.0
성북구,2021,"1,285",88.7,15,3.4,"1,606",364.9
강북구,2021,"1,017",109.4,6,2.0,"1,302",430.3
도봉구,2021,591,54.1,3,0.9,768,240.5
노원구,2021,"1,413",84.4,8,1.6,"1,940",376.7
은평구,2021,867,56.9,11,2.3,"1,218",255.3
