년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,강남구,153,200,280,573,219,6,4,413,619,84,176,13
202112 ,강남구,152,200,358,151,218,661,4,348,611,13,179,13
202201 ,강남구,151,200,545,340,219,36,4,338,609,1,179,13
202202 ,강남구,150,200,564,854,219,568,4,309,628,991,179,13
202203 ,강남구,153,200,576,823,219,552,4,293,626,973,179,13
202204 ,강남구,153,205,334,73,224,560,4,260,622,935,175,13
202205 ,강남구,153,205,571,286,225,10,4,224,607,885,175,13
202206 ,강남구,153,206,34,42,226,229,4,245,613,911,175,13
202207 ,강남구,155,206,221,89,226,465,4,216,608,877,184,13
202208 ,강남구,156,206,124,399,226,679,4,184,610,852,186,13
202209 ,강남구,156,206,457,38,226,651,4,164,607,828,186,13
202210 ,강남구,156,206,392,795,226,343,4,154,598,804,185,13
202211 ,강남구,156,206,959,604,226,719,4,141,594,787,190,13
202212 ,강남구,154,207,377,810,227,341,4,115,593,761,178,13
202301 ,강남구,154,207,692,642,227,488,4,112,587,753,176,13
202302 ,강남구,153,207,975,749,227,877,4,102,570,726,177,13
202303 ,강남구,155,209,267,559,228,981,4,84,566,704,177,13
202304 ,강남구,152,210,122,345,229,619,4,67,566,687,178,13
202305 ,강남구,152,210,387,155,229,694,4,65,566,685,178,13
202306 ,강남구,159,210,777,328,230,264,4,64,565,685,178,13
202307 ,강남구,162,211,275,167,230,604,4,42,561,659,179,13
202308 ,강남구,164,211,741,6,230,911,4,43,552,651,180,13
202309 ,강남구,158,211,949,861,230,968,4,20,556,633,179,13
202310 ,강남구,159,212,274,962,231,395,4,30,550,636,179,13
202311 ,강남구,161,212,390,512,231,63,4,26,546,629,181,13
202312 ,강남구,156,214,156,168,232,480,3,998,546,601,180,13
202401 ,강남구,154,215,268,940,233,362,4,24,543,624,179,13
202402 ,강남구,154,217,167,423,234,744,4,19,535,611,178,13
202403 ,강남구,154,217,524,38,234,716,3,986,533,577,178,13
202404 ,강남구,154,217,733,813,234,700,3,984,531,573,179,13
202405 ,강남구,153,218,216,595,234,964,3,957,534,549,179,13
202406 ,강남구,152,218,463,319,235,934,3,934,562,554,180,13
202407 ,강남구,151,218,439,130,235,720,3,927,573,559,179,13
202408 ,강남구,160,218,724,964,235,848,3,923,570,554,189,13
202409 ,강남구,162,218,929,437,235,528,3,909,561,533,188,13
202410 ,강남구,162,219,56,409,233,627,3,881,559,503,189,13
202411 ,강남구,161,219,173,71,233,405,3,858,557,477,190,13
202412 ,강남구,162,219,170,347,233,679,3,842,559,462,187,13
202501 ,강남구,159,219,66,177,233,402,3,838,555,454,187,13
202502 ,강남구,158,218,816,53,233,27,3,810,546,417,187,13
202503 ,강남구,161,218,815,883,232,859,3,825,542,428,187,13
202504 ,강남구,161,218,351,948,232,460,3,833,541,434,187,13
202505 ,강남구,160,218,276,225,232,661,3,818,540,418,187,13
202506 ,강남구,159,218,784,915,232,858,3,768,531,359,187,13
202507 ,강남구,159,218,484,640,232,283,3,773,538,373,194,13
202508 ,강남구,157,218,389,419,231,965,3,767,536,365,194,13
202509 ,강남구,157,217,945,198,231,300,3,776,537,372,193,13
202510 ,강남구,157,217,913,898,230,968,3,784,534,377,193,13
202511 ,강남구,157,218,764,526,231,447,3,755,531,346,193,13
