년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,강동구,104,127,104,196,132,404,3,722,680,445,154,12
202112 ,강동구,105,126,873,211,132,189,3,721,678,441,154,12
202201 ,강동구,103,126,883,182,132,168,3,701,674,417,155,12
202202 ,강동구,101,126,797,158,132,56,3,680,695,416,154,12
202203 ,강동구,101,126,760,127,131,988,3,680,699,420,153,12
202204 ,강동구,101,126,912,92,132,105,3,679,707,427,153,12
202205 ,강동구,102,127,75,88,132,265,3,665,711,417,153,12
202206 ,강동구,102,127,247,95,132,444,3,661,737,439,153,12
202207 ,강동구,103,127,450,99,132,652,3,641,738,420,154,12
202208 ,강동구,104,127,611,113,132,828,3,602,747,391,155,12
202209 ,강동구,104,127,777,121,133,2,3,596,770,410,156,12
202210 ,강동구,104,127,790,133,133,27,3,598,789,431,156,12
202211 ,강동구,105,128,30,138,133,273,3,599,797,440,158,12
202212 ,강동구,104,128,197,93,133,394,3,573,810,426,158,12
202301 ,강동구,102,128,422,111,133,635,3,569,819,431,159,12
202302 ,강동구,102,128,583,117,133,802,3,548,822,413,155,12
202303 ,강동구,109,128,708,113,133,930,3,523,822,387,154,12
202304 ,강동구,110,128,775,92,133,977,3,519,806,367,154,12
202305 ,강동구,110,128,840,138,134,88,3,498,808,348,154,12
202306 ,강동구,115,128,951,140,134,206,3,493,809,344,155,12
202307 ,강동구,110,128,920,115,134,145,3,469,806,317,155,12
202308 ,강동구,112,128,888,97,134,97,3,451,811,303,154,12
202309 ,강동구,112,128,897,105,134,114,3,415,799,255,154,12
202310 ,강동구,113,128,922,59,134,94,3,399,794,234,154,12
202311 ,강동구,112,129,135,67,134,314,3,376,799,216,154,12
202312 ,강동구,113,129,380,55,134,548,3,381,789,211,148,12
202401 ,강동구,114,129,486,41,134,641,3,357,800,198,148,12
202402 ,강동구,107,129,782,16,134,905,3,357,803,201,148,12
202403 ,강동구,107,130,110,976,135,193,3,336,798,175,147,12
202404 ,강동구,108,130,444,970,135,522,3,308,732,81,147,12
202405 ,강동구,108,130,717,948,135,773,3,284,730,55,146,11
202406 ,강동구,108,131,107,945,136,160,3,260,705,6,146,11
202407 ,강동구,110,131,523,941,136,574,3,272,684,997,145,11
202408 ,강동구,110,132,52,939,137,101,3,258,679,978,145,11
202409 ,강동구,110,132,178,162,137,450,3,232,662,935,144,11
202410 ,강동구,110,132,559,147,137,816,3,225,636,902,144,11
202411 ,강동구,109,133,624,119,138,852,3,234,635,910,144,11
202412 ,강동구,106,136,733,126,141,965,3,229,629,899,146,11
202501 ,강동구,107,139,186,133,144,426,3,234,629,904,147,11
202502 ,강동구,108,141,888,109,147,105,3,240,628,910,147,11
202503 ,강동구,109,143,209,101,148,419,3,241,625,908,148,11
202504 ,강동구,109,143,721,83,148,913,3,212,623,876,148,11
202505 ,강동구,110,144,212,56,149,378,3,196,615,852,148,11
202506 ,강동구,112,144,566,33,149,711,3,179,617,837,154,11
202507 ,강동구,111,144,894,22,150,27,3,159,617,818,153,11
202508 ,강동구,111,145,83,3,150,197,3,152,621,815,153,11
202509 ,강동구,109,145,166,971,150,246,3,123,620,785,151,11
202510 ,강동구,108,145,169,946,150,223,3,97,619,758,150,11
202511 ,강동구,109,145,267,1,150,377,3,78,617,737,151,11
