년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,강북구,103,60,921,143,63,167,2,559,719,343,131,7
202112 ,강북구,102,60,845,139,63,86,2,556,719,338,130,7
202201 ,강북구,104,60,967,134,63,205,2,551,719,333,130,7
202202 ,강북구,104,60,819,125,63,48,2,524,719,306,130,7
202203 ,강북구,103,60,738,117,62,958,2,494,718,275,130,7
202204 ,강북구,103,60,734,107,62,944,2,493,718,274,130,7
202205 ,강북구,102,60,699,131,62,932,2,474,718,255,131,7
202206 ,강북구,103,60,838,143,63,84,2,456,718,237,129,7
202207 ,강북구,104,60,967,147,63,218,2,450,717,232,130,7
202208 ,강북구,104,61,34,130,63,268,2,464,720,249,130,7
202209 ,강북구,103,60,968,101,63,172,2,448,720,232,133,7
202210 ,강북구,103,60,975,87,63,165,2,440,718,223,137,7
202211 ,강북구,102,60,982,89,63,173,2,440,717,222,136,7
202212 ,강북구,103,60,943,68,63,114,2,431,718,219,133,7
202301 ,강북구,103,60,998,66,63,167,2,411,716,193,132,7
202302 ,강북구,102,60,949,58,63,109,2,389,716,171,132,7
202303 ,강북구,102,60,992,64,63,158,2,364,716,146,130,7
202304 ,강북구,102,61,21,70,63,193,2,348,717,131,129,7
202305 ,강북구,102,61,14,97,63,213,2,329,718,114,131,7
202306 ,강북구,106,60,933,97,63,136,2,322,717,107,131,7
202307 ,강북구,105,60,976,101,63,182,2,308,717,93,132,7
202308 ,강북구,102,60,875,106,63,83,2,301,718,84,133,7
202309 ,강북구,102,60,847,110,63,59,2,287,716,68,133,7
202310 ,강북구,102,60,695,113,62,910,2,254,718,37,133,7
202311 ,강북구,102,60,651,100,62,853,2,246,717,29,135,7
202312 ,강북구,105,60,580,105,62,790,2,228,717,10,132,7
202401 ,강북구,105,60,527,98,62,730,2,221,718,6,132,7
202402 ,강북구,106,60,478,93,62,677,2,212,718,997,132,7
202403 ,강북구,107,60,324,91,62,522,2,188,718,973,132,6
202404 ,강북구,107,60,285,79,62,471,2,174,717,958,132,6
202405 ,강북구,108,60,247,80,62,435,2,157,716,941,132,6
202406 ,강북구,106,60,200,63,62,369,2,136,713,918,132,6
202407 ,강북구,107,60,126,85,62,318,2,109,713,891,130,6
202408 ,강북구,107,60,92,88,62,287,2,92,714,875,130,6
202409 ,강북구,109,60,227,87,62,423,2,77,714,860,128,6
202410 ,강북구,108,60,350,91,62,549,2,71,715,855,129,6
202411 ,강북구,113,60,333,88,62,534,2,59,717,845,130,6
202412 ,강북구,111,60,294,86,62,491,2,53,717,838,133,6
202501 ,강북구,111,60,308,91,62,510,2,46,715,829,132,6
202502 ,강북구,113,60,246,91,62,450,2,28,715,811,132,6
202503 ,강북구,114,60,135,98,62,347,2,13,715,796,131,6
202504 ,강북구,114,59,999,93,62,206,1,998,715,781,128,6
202505 ,강북구,117,59,876,103,62,96,1,986,716,769,129,6
202506 ,강북구,118,59,869,108,62,95,1,972,716,755,130,6
202507 ,강북구,118,59,783,108,62,9,1,963,716,746,129,6
202508 ,강북구,117,59,580,115,61,812,1,956,715,738,128,6
202509 ,강북구,116,59,460,119,61,695,1,941,716,724,128,6
202510 ,강북구,114,59,415,124,61,653,1,924,716,709,128,6
202511 ,강북구,114,59,388,126,61,628,1,906,716,692,127,6
