년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,강서구,127,163,906,402,176,435,5,8,1,6,427,156
202112 ,강서구,125,164,486,485,177,96,5,3,1,6,409,157
202201 ,강서구,127,164,621,431,177,179,4,939,1,6,384,157
202202 ,강서구,126,164,624,371,177,121,4,910,1,6,340,157
202203 ,강서구,127,165,787,348,178,262,4,887,1,6,317,157
202204 ,강서구,127,166,507,794,178,428,4,834,1,6,266,157
202205 ,강서구,128,166,816,742,178,686,4,826,1,6,257,159
202206 ,강서구,128,167,289,355,178,772,4,811,1,6,255,159
202207 ,강서구,129,167,483,386,178,998,4,776,1,6,211,159
202208 ,강서구,129,167,244,378,178,751,4,729,1,6,166,158
202209 ,강서구,129,167,354,300,178,783,4,700,1,6,138,158
202210 ,강서구,131,167,251,348,178,730,4,653,1,6,93,164
202211 ,강서구,131,167,831,284,179,246,4,627,1,6,69,164
202212 ,강서구,128,168,42,248,179,418,4,595,1,6,21,164
202301 ,강서구,129,167,350,195,178,674,4,632,1,6,41,164
202302 ,강서구,129,166,782,87,177,998,4,608,1,6,3,163
202303 ,강서구,130,166,914,894,177,938,4,605,1,6,9,164
202304 ,강서구,131,167,15,782,177,928,4,589,1,5,992,164
202305 ,강서구,134,166,934,666,177,734,4,536,1,5,934,166
202306 ,강서구,133,167,621,525,178,279,4,501,1,5,898,163
202307 ,강서구,135,167,528,572,178,235,4,503,1,5,900,163
202308 ,강서구,137,167,168,500,177,805,4,479,1,5,884,163
202309 ,강서구,135,167,147,372,177,654,4,438,1,5,841,162
202310 ,강서구,134,167,262,314,177,710,4,389,1,5,794,161
202311 ,강서구,134,167,859,181,178,174,4,362,1,5,755,163
202312 ,강서구,134,168,214,66,178,414,4,339,1,5,720,168
202401 ,강서구,135,168,140,873,178,148,4,338,1,5,714,170
202402 ,강서구,135,167,515,766,177,416,4,326,1,5,703,168
202403 ,강서구,135,167,537,656,177,328,4,300,1,5,675,167
202404 ,강서구,135,167,543,483,177,161,4,289,1,5,655,169
202405 ,강서구,133,167,760,291,177,184,4,274,1,5,640,167
202406 ,강서구,136,167,917,288,177,341,4,261,1,5,615,167
202407 ,강서구,135,167,613,282,177,30,4,190,1,5,544,167
202408 ,강서구,136,167,155,214,176,505,4,178,1,5,531,167
202409 ,강서구,137,167,135,170,176,442,4,139,1,5,495,167
202410 ,강서구,138,167,574,209,176,921,4,111,1,5,475,162
202411 ,강서구,138,168,254,549,176,941,4,79,1,5,442,162
202412 ,강서구,138,168,464,528,177,130,4,70,1,5,444,162
202501 ,강서구,138,167,862,491,176,491,4,93,1,5,459,162
202502 ,강서구,137,167,122,445,175,704,4,60,1,5,423,163
202503 ,강서구,138,167,182,847,176,167,3,994,1,5,348,164
202504 ,강서구,137,167,147,660,175,944,3,974,1,5,327,163
202505 ,강서구,136,167,35,644,175,815,3,930,1,5,292,160
202506 ,강서구,138,166,951,598,175,687,3,890,1,5,251,159
202507 ,강서구,138,166,600,576,175,314,3,920,1,5,338,159
202508 ,강서구,138,166,178,585,174,901,3,921,1,5,340,159
202509 ,강서구,138,165,541,580,174,259,3,901,1,5,312,160
202510 ,강서구,136,164,985,538,173,659,3,859,1,5,269,161
202511 ,강서구,136,165,284,467,173,887,3,853,1,5,255,158
