년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,광진구,87,79,869,65,83,21,2,515,390,948,162,10
202112 ,광진구,88,79,766,98,82,952,2,507,391,942,163,10
202201 ,광진구,87,79,867,499,83,453,2,509,386,939,163,10
202202 ,광진구,87,79,971,434,83,492,2,490,382,916,163,10
202203 ,광진구,88,80,142,453,83,683,2,470,378,892,162,10
202204 ,광진구,87,80,207,342,83,636,2,461,380,885,162,10
202205 ,광진구,89,80,294,388,83,771,2,461,379,884,162,10
202206 ,광진구,90,80,360,436,83,886,2,447,377,868,162,10
202207 ,광진구,87,80,443,485,84,15,2,442,377,861,159,10
202208 ,광진구,87,80,430,526,84,43,2,425,377,845,162,9
202209 ,광진구,85,80,477,534,84,96,2,399,375,817,162,9
202210 ,광진구,87,80,392,515,83,994,2,391,362,796,166,9
202211 ,광진구,86,80,400,458,83,944,2,373,367,783,168,9
202212 ,광진구,87,80,403,435,83,925,2,359,364,767,166,9
202301 ,광진구,87,80,441,408,83,936,2,356,359,759,169,9
202302 ,광진구,87,80,402,408,83,897,2,352,352,748,168,9
202303 ,광진구,89,80,447,372,83,908,2,339,357,739,170,9
202304 ,광진구,89,80,492,329,83,910,2,325,355,723,176,9
202305 ,광진구,90,80,536,282,83,908,2,315,354,713,181,9
202306 ,광진구,92,80,537,290,83,919,2,295,354,693,180,9
202307 ,광진구,92,80,669,206,83,967,2,283,354,681,183,9
202308 ,광진구,91,80,834,226,84,151,2,266,338,647,183,8
202309 ,광진구,91,81,51,224,84,366,2,249,336,627,185,8
202310 ,광진구,91,81,44,123,84,258,2,237,332,611,184,8
202311 ,광진구,93,80,988,103,84,184,2,229,336,609,183,8
202312 ,광진구,93,80,880,85,84,58,2,222,334,601,182,8
202401 ,광진구,93,80,891,64,84,48,2,206,331,582,175,8
202402 ,광진구,93,80,763,31,83,887,2,202,331,578,175,8
202403 ,광진구,92,80,662,13,83,767,2,190,334,569,175,8
202404 ,광진구,92,80,705,34,83,831,2,172,334,551,173,8
202405 ,광진구,92,80,732,39,83,863,2,153,336,534,172,8
202406 ,광진구,92,80,620,84,83,796,2,139,341,524,172,8
202407 ,광진구,92,80,537,91,83,720,2,105,330,481,172,8
202408 ,광진구,91,80,461,105,83,657,2,85,326,456,172,8
202409 ,광진구,91,80,388,136,83,615,2,64,332,441,172,8
202410 ,광진구,90,80,316,73,83,479,2,37,332,414,169,8
202411 ,광진구,89,80,246,991,83,326,2,27,332,402,168,8
202412 ,광진구,89,80,86,956,83,131,2,18,326,388,168,8
202501 ,광진구,89,80,72,940,83,101,2,6,315,365,168,8
202502 ,광진구,87,79,908,955,82,950,2,3,313,359,166,8
202503 ,광진구,86,79,975,963,83,24,1,973,313,330,164,8
202504 ,광진구,87,80,103,944,83,134,1,955,314,313,164,8
202505 ,광진구,87,80,285,954,83,326,1,951,332,328,164,8
202506 ,광진구,87,80,395,957,83,439,1,940,333,318,164,8
202507 ,광진구,87,80,391,978,83,456,1,926,332,302,165,8
202508 ,광진구,87,80,243,977,83,307,1,916,331,291,166,8
202509 ,광진구,90,80,183,8,83,281,1,898,327,268,164,8
202510 ,광진구,89,80,112,4,83,205,1,884,328,255,164,8
202511 ,광진구,86,80,83,994,83,163,1,869,325,237,165,8
