년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,구로구,102,112,990,911,123,3,4,745,636,445,132,14
202112 ,구로구,102,112,959,31,123,92,4,738,629,431,133,14
202201 ,구로구,100,113,58,933,123,91,4,701,631,389,127,14
202202 ,구로구,100,112,987,767,122,854,4,692,606,355,125,14
202203 ,구로구,99,113,101,131,123,331,4,688,588,333,125,14
202204 ,구로구,98,113,168,99,123,365,4,649,587,293,123,14
202205 ,구로구,98,113,156,86,123,340,4,625,585,267,122,14
202206 ,구로구,99,113,171,95,123,365,4,623,581,262,125,14
202207 ,구로구,100,113,229,94,123,423,4,575,579,214,126,14
202208 ,구로구,99,113,217,286,123,602,4,566,575,203,125,14
202209 ,구로구,99,113,321,367,123,787,4,553,564,179,125,14
202210 ,구로구,100,113,876,861,124,837,4,550,558,170,128,14
202211 ,구로구,99,114,286,970,125,355,4,532,557,154,136,14
202212 ,구로구,108,114,713,322,126,143,4,504,562,130,135,14
202301 ,구로구,102,114,998,203,126,303,4,491,558,112,131,14
202302 ,구로구,100,115,81,705,125,886,4,464,553,80,128,14
202303 ,구로구,101,115,314,707,126,122,4,443,567,73,129,14
202304 ,구로구,102,115,538,280,125,920,4,403,559,24,130,14
202305 ,구로구,102,115,573,198,125,873,4,397,553,12,131,14
202306 ,구로구,106,115,830,223,126,159,4,390,549,1,131,14
202307 ,구로구,108,115,887,188,126,183,4,385,550,997,132,14
202308 ,구로구,107,115,790,22,125,919,4,356,547,965,130,14
202309 ,구로구,106,115,835,25,125,966,4,348,546,956,130,14
202310 ,구로구,107,115,828,988,125,923,4,310,535,906,128,14
202311 ,구로구,107,115,780,957,125,844,4,274,533,870,128,14
202312 ,구로구,107,115,645,918,125,670,4,256,530,849,129,13
202401 ,구로구,107,115,687,885,125,679,4,234,533,829,129,13
202402 ,구로구,107,115,571,868,125,546,4,213,532,807,129,13
202403 ,구로구,106,115,590,17,125,713,4,154,538,754,129,13
202404 ,구로구,106,115,570,992,125,668,4,110,584,756,127,13
202405 ,구로구,107,115,550,830,125,487,4,76,585,723,127,13
202406 ,구로구,107,115,548,701,125,356,4,43,585,690,127,13
202407 ,구로구,108,115,501,627,125,236,3,972,586,620,127,13
202408 ,구로구,108,115,461,532,125,101,3,941,578,581,128,13
202409 ,구로구,109,115,569,473,125,151,3,917,575,554,129,13
202410 ,구로구,110,115,537,393,125,40,3,904,567,533,130,13
202411 ,구로구,110,115,474,377,124,961,3,860,591,512,130,13
202412 ,구로구,110,115,193,149,124,452,3,822,566,449,125,13
202501 ,구로구,111,115,48,104,124,263,3,799,566,427,125,13
202502 ,구로구,111,114,867,85,124,63,3,759,564,384,126,13
202503 ,구로구,112,114,810,62,123,984,3,724,566,350,126,13
202504 ,구로구,111,114,830,47,123,988,3,662,568,290,126,13
202505 ,구로구,111,114,677,54,123,842,3,644,565,268,126,13
202506 ,구로구,111,114,680,974,123,765,3,607,560,226,125,13
202507 ,구로구,112,114,529,807,123,448,3,589,562,211,126,13
202508 ,구로구,112,114,450,526,123,88,3,573,560,191,127,13
202509 ,구로구,112,114,418,357,122,887,3,523,559,140,127,13
202510 ,구로구,111,114,309,536,122,956,3,500,567,125,126,13
202511 ,구로구,111,114,160,544,122,815,3,466,573,97,126,13
