년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,금천구,45,69,633,432,73,110,3,151,481,654,68,10
202112 ,금천구,44,69,563,560,73,167,3,143,482,647,68,10
202201 ,금천구,51,69,694,545,73,290,3,121,481,631,74,10
202202 ,금천구,51,69,787,543,73,381,3,112,480,621,74,10
202203 ,금천구,51,69,933,528,73,512,3,81,480,588,74,10
202204 ,금천구,51,70,6,405,73,462,3,79,477,583,74,10
202205 ,금천구,52,70,232,397,73,681,3,81,477,585,74,10
202206 ,금천구,52,70,400,392,73,844,3,83,478,588,74,10
202207 ,금천구,52,70,658,400,74,110,3,62,473,564,74,10
202208 ,금천구,52,70,737,490,74,279,3,48,474,551,75,10
202209 ,금천구,52,70,794,497,74,343,3,30,471,531,75,10
202210 ,금천구,51,70,872,417,74,340,3,22,467,518,75,10
202211 ,금천구,50,70,975,417,74,442,3,3,464,496,76,10
202212 ,금천구,51,71,122,498,74,671,2,986,471,486,76,10
202301 ,금천구,51,71,348,529,74,928,2,971,470,470,76,10
202302 ,금천구,50,71,468,554,75,72,2,957,466,452,75,10
202303 ,금천구,53,71,586,550,75,189,2,934,465,428,75,10
202304 ,금천구,53,71,663,541,75,257,2,913,464,406,75,10
202305 ,금천구,55,71,702,520,75,277,2,898,464,391,75,10
202306 ,금천구,56,71,777,500,75,333,2,896,465,390,75,10
202307 ,금천구,57,71,824,538,75,419,2,885,465,379,76,10
202308 ,금천구,57,71,808,543,75,408,2,861,462,352,77,10
202309 ,금천구,57,71,797,561,75,415,2,851,462,344,78,10
202310 ,금천구,56,71,757,550,75,363,2,825,464,320,78,10
202311 ,금천구,56,71,779,531,75,366,2,801,464,296,79,10
202312 ,금천구,55,71,744,518,75,317,2,793,455,279,74,10
202401 ,금천구,55,71,729,480,75,264,2,774,450,255,74,10
202402 ,금천구,58,71,702,476,75,236,2,758,450,239,72,10
202403 ,금천구,58,71,800,440,75,298,2,709,451,192,72,10
202404 ,금천구,58,71,782,414,75,254,2,698,451,181,72,10
202405 ,금천구,58,71,786,389,75,233,2,672,452,156,72,10
202406 ,금천구,57,71,715,380,75,152,2,671,452,155,72,10
202407 ,금천구,60,71,801,388,75,249,2,646,452,130,73,10
202408 ,금천구,60,71,811,385,75,256,2,619,451,102,74,10
202409 ,금천구,60,71,817,335,75,212,2,580,450,63,74,10
202410 ,금천구,59,71,795,312,75,166,2,555,449,37,74,10
202411 ,금천구,58,71,722,323,75,103,2,535,449,18,73,10
202412 ,금천구,56,71,715,310,75,81,2,512,446,991,73,10
202501 ,금천구,57,71,759,66,74,882,2,514,445,992,73,10
202502 ,금천구,59,71,628,748,74,435,2,484,441,958,73,10
202503 ,금천구,58,71,509,724,74,291,2,456,437,926,75,10
202504 ,금천구,57,71,531,710,74,298,2,423,435,891,77,10
202505 ,금천구,58,71,549,712,74,319,2,402,434,869,78,10
202506 ,금천구,58,71,470,689,74,217,2,384,433,851,78,10
202507 ,금천구,58,71,433,685,74,176,2,367,435,836,78,10
202508 ,금천구,58,71,381,709,74,148,2,349,435,818,78,10
202509 ,금천구,58,71,474,755,74,287,2,321,435,789,78,10
202510 ,금천구,59,71,505,751,74,315,2,306,434,773,78,10
202511 ,금천구,59,71,493,809,74,361,2,281,434,748,78,10
