년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,노원구,87,128,533,630,134,250,3,939,857,848,167,10
202112 ,노원구,87,128,613,715,134,415,3,919,862,833,169,10
202201 ,노원구,87,128,881,672,134,640,3,903,856,812,169,10
202202 ,노원구,87,128,884,664,134,635,3,881,854,788,169,10
202203 ,노원구,86,128,855,561,134,502,3,858,848,759,166,10
202204 ,노원구,86,128,853,598,134,537,3,857,848,758,168,10
202205 ,노원구,86,128,902,595,134,583,3,836,849,739,171,10
202206 ,노원구,86,129,23,593,134,702,3,810,847,711,171,10
202207 ,노원구,88,129,77,575,134,740,3,806,847,707,172,10
202208 ,노원구,88,129,128,571,134,787,3,787,846,688,172,10
202209 ,노원구,88,129,227,537,134,852,3,767,840,661,173,10
202210 ,노원구,88,129,250,513,134,851,3,749,840,642,174,10
202211 ,노원구,88,129,348,511,134,947,3,732,841,626,176,10
202212 ,노원구,87,129,347,522,134,956,3,708,836,596,176,10
202301 ,노원구,86,129,513,497,135,96,3,695,836,583,175,10
202302 ,노원구,84,129,453,494,135,31,3,685,835,572,176,10
202303 ,노원구,84,129,504,538,135,126,3,646,836,534,176,10
202304 ,노원구,84,129,535,522,135,141,3,604,835,491,175,10
202305 ,노원구,83,129,516,507,135,106,3,584,832,468,174,10
202306 ,노원구,83,129,347,512,134,942,3,578,826,456,173,10
202307 ,노원구,83,129,528,502,135,113,3,543,827,422,173,10
202308 ,노원구,83,129,600,527,135,210,3,513,822,387,173,10
202309 ,노원구,83,129,781,528,135,392,3,493,818,363,175,10
202310 ,노원구,83,129,771,515,135,369,3,469,818,339,177,10
202311 ,노원구,83,129,843,500,135,426,3,466,816,335,177,10
202312 ,노원구,83,129,767,496,135,346,3,438,815,309,174,10
202401 ,노원구,83,129,730,464,135,277,3,430,785,271,175,9
202402 ,노원구,84,129,689,463,135,236,3,413,780,251,175,9
202403 ,노원구,85,129,620,453,135,158,3,391,773,222,174,9
202404 ,노원구,83,129,687,446,135,216,3,388,771,213,177,9
202405 ,노원구,83,129,619,452,135,154,3,374,770,198,177,9
202406 ,노원구,84,129,587,507,135,178,3,348,766,168,176,9
202407 ,노원구,84,129,615,612,135,311,3,311,766,133,175,9
202408 ,노원구,84,129,663,611,135,358,3,289,770,113,175,9
202409 ,노원구,84,129,603,619,135,306,3,275,766,95,176,9
202410 ,노원구,85,129,402,627,135,114,3,250,766,70,176,9
202411 ,노원구,81,129,379,650,135,110,3,221,765,38,176,9
202412 ,노원구,81,129,273,600,134,954,3,200,752,4,175,9
202501 ,노원구,81,129,224,603,134,908,3,187,753,992,175,9
202502 ,노원구,81,129,124,593,134,798,3,166,754,972,176,9
202503 ,노원구,81,128,944,571,134,596,3,127,751,930,171,9
202504 ,노원구,81,128,811,569,134,461,3,84,750,885,172,9
202505 ,노원구,80,128,613,560,134,253,3,47,752,850,171,9
202506 ,노원구,80,128,457,560,134,97,3,23,751,825,170,9
202507 ,노원구,81,128,376,567,134,24,3,1,749,801,170,9
202508 ,노원구,81,128,228,586,133,895,2,982,750,783,171,9
202509 ,노원구,81,128,177,587,133,845,2,950,716,717,170,9
202510 ,노원구,81,128,166,566,133,813,2,920,715,686,171,9
202511 ,노원구,81,128,187,607,133,875,2,915,713,679,171,9
