년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,도봉구,91,76,733,540,81,364,2,813,576,441,130,8
202112 ,도봉구,92,76,683,513,81,288,2,788,575,415,131,8
202201 ,도봉구,92,76,735,494,81,321,2,774,575,401,131,8
202202 ,도봉구,92,76,738,537,81,367,2,769,575,395,130,8
202203 ,도봉구,92,76,643,606,81,341,2,736,576,363,130,8
202204 ,도봉구,92,76,631,667,81,390,2,729,575,354,129,8
202205 ,도봉구,92,76,745,690,81,527,2,709,575,335,125,8
202206 ,도봉구,92,76,786,684,81,562,2,698,575,325,125,8
202207 ,도봉구,92,76,882,703,81,677,2,681,575,308,125,8
202208 ,도봉구,94,76,871,706,81,671,2,657,575,286,125,8
202209 ,도봉구,94,76,798,715,81,607,2,649,575,278,126,8
202210 ,도봉구,94,76,820,737,81,651,2,639,575,265,127,8
202211 ,도봉구,94,76,856,727,81,677,2,620,572,244,126,8
202212 ,도봉구,94,76,886,699,81,679,2,600,569,220,127,8
202301 ,도봉구,93,76,966,654,81,713,2,579,585,215,126,8
202302 ,도봉구,93,76,999,643,81,735,2,551,596,198,124,8
202303 ,도봉구,92,77,30,623,81,745,2,529,593,173,124,8
202304 ,도봉구,93,76,998,602,81,693,2,526,595,172,123,8
202305 ,도봉구,94,76,994,665,81,753,2,508,601,160,124,8
202306 ,도봉구,94,76,956,670,81,720,2,484,601,136,125,8
202307 ,도봉구,95,76,894,683,81,672,2,485,604,139,125,8
202308 ,도봉구,94,76,785,690,81,569,2,469,591,110,125,8
202309 ,도봉구,94,76,731,699,81,524,2,445,591,86,128,8
202310 ,도봉구,94,76,699,709,81,502,2,432,584,66,127,8
202311 ,도봉구,94,76,756,696,81,546,2,421,594,65,129,8
202312 ,도봉구,92,76,763,664,81,519,2,403,582,33,125,8
202401 ,도봉구,92,76,748,656,81,496,2,382,582,12,125,8
202402 ,도봉구,92,76,705,643,81,440,2,370,591,9,125,8
202403 ,도봉구,91,76,681,623,81,395,2,352,575,975,125,8
202404 ,도봉구,92,76,655,619,81,366,2,330,635,13,125,8
202405 ,도봉구,92,76,631,603,81,326,2,316,631,995,124,7
202406 ,도봉구,92,76,579,600,81,271,2,308,599,955,125,7
202407 ,도봉구,92,76,504,643,81,239,2,274,588,910,129,7
202408 ,도봉구,92,76,344,639,81,75,2,252,578,878,129,7
202409 ,도봉구,92,76,305,620,81,17,2,240,578,866,128,7
202410 ,도봉구,92,76,182,599,80,873,2,220,570,838,129,7
202411 ,도봉구,92,76,173,581,80,846,2,211,561,820,128,7
202412 ,도봉구,92,76,137,581,80,810,2,188,565,801,124,7
202501 ,도봉구,91,76,179,613,80,883,2,182,555,785,124,7
202502 ,도봉구,91,76,120,603,80,814,2,171,560,779,123,7
202503 ,도봉구,92,76,129,575,80,796,2,139,562,749,123,7
202504 ,도봉구,92,76,94,552,80,738,2,131,560,740,123,7
202505 ,도봉구,93,76,17,536,80,646,2,108,563,720,123,7
202506 ,도봉구,92,75,990,527,80,609,2,97,563,709,123,7
202507 ,도봉구,92,75,996,520,80,608,2,86,563,699,123,7
202508 ,도봉구,93,76,17,514,80,624,2,75,565,690,124,7
202509 ,도봉구,93,76,50,505,80,648,2,59,562,671,123,7
202510 ,도봉구,93,75,980,500,80,573,2,52,561,662,124,7
202511 ,도봉구,92,75,974,506,80,572,2,38,559,646,124,7
