년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,동대문구,109,80,98,519,82,726,3,46,129,230,145,9
202112 ,동대문구,111,80,187,479,82,777,3,32,129,216,146,9
202201 ,동대문구,108,80,263,489,82,860,3,32,134,221,143,9
202202 ,동대문구,108,80,280,497,82,885,3,22,134,211,141,9
202203 ,동대문구,109,80,297,498,82,904,2,995,156,207,139,9
202204 ,동대문구,109,80,365,492,82,966,2,967,126,148,139,9
202205 ,동대문구,107,80,472,480,83,59,2,954,142,152,139,9
202206 ,동대문구,106,80,466,243,82,815,2,947,141,144,139,9
202207 ,동대문구,106,80,586,252,82,944,2,943,139,138,140,9
202208 ,동대문구,105,80,672,248,83,25,2,915,148,120,140,9
202209 ,동대문구,105,81,134,251,83,490,2,911,149,118,140,9
202210 ,동대문구,105,81,274,173,83,552,2,899,152,109,143,9
202211 ,동대문구,106,81,405,206,83,717,2,901,151,109,141,9
202212 ,동대문구,106,81,388,388,83,882,2,880,151,87,141,9
202301 ,동대문구,107,81,610,392,84,109,2,856,155,68,141,9
202302 ,동대문구,103,81,695,401,84,199,2,842,160,59,142,9
202303 ,동대문구,101,81,859,434,84,394,2,830,160,46,139,9
202304 ,동대문구,101,82,8,450,84,559,2,808,155,19,138,9
202305 ,동대문구,101,82,115,436,84,652,2,778,155,990,138,9
202306 ,동대문구,103,82,447,564,85,114,2,770,157,984,138,9
202307 ,동대문구,104,82,788,683,85,575,2,762,158,976,138,9
202308 ,동대문구,103,83,388,740,86,231,2,723,158,937,137,9
202309 ,동대문구,102,83,824,754,86,680,2,728,157,941,136,9
202310 ,동대문구,102,84,87,800,86,989,2,712,155,923,137,9
202311 ,동대문구,103,84,245,815,87,163,2,678,153,888,138,9
202312 ,동대문구,104,84,257,879,87,240,2,674,152,883,136,9
202401 ,동대문구,103,84,309,897,87,309,2,666,154,875,138,9
202402 ,동대문구,102,84,302,894,87,298,2,664,154,873,132,9
202403 ,동대문구,101,84,444,900,87,445,2,642,154,851,131,9
202404 ,동대문구,100,84,548,887,87,535,2,629,142,825,131,9
202405 ,동대문구,100,84,564,917,87,581,2,608,146,807,131,9
202406 ,동대문구,101,84,549,938,87,588,2,573,146,773,131,9
202407 ,동대문구,102,84,586,909,87,597,2,564,132,750,131,9
202408 ,동대문구,106,84,542,912,87,560,2,541,131,727,131,9
202409 ,동대문구,106,84,719,945,87,770,2,521,132,711,130,9
202410 ,동대문구,107,84,749,949,87,805,2,505,132,698,132,9
202411 ,동대문구,108,84,639,954,87,701,2,474,130,660,128,9
202412 ,동대문구,109,84,500,959,87,568,2,476,126,660,127,9
202501 ,동대문구,106,84,656,931,87,693,2,466,125,649,128,9
202502 ,동대문구,106,85,105,929,88,140,2,461,124,643,129,9
202503 ,동대문구,105,85,627,921,88,653,2,439,128,625,131,9
202504 ,동대문구,105,85,773,873,88,751,2,417,128,604,132,9
202505 ,동대문구,108,85,880,773,88,761,2,401,129,590,134,9
202506 ,동대문구,108,86,6,785,88,899,2,382,129,571,136,9
202507 ,동대문구,107,86,561,743,89,411,2,371,128,558,136,9
202508 ,동대문구,108,86,869,740,89,717,2,355,129,543,136,9
202509 ,동대문구,107,86,937,736,89,780,2,334,129,522,136,9
202510 ,동대문구,107,86,924,749,89,780,2,306,128,493,136,9
202511 ,동대문구,110,86,909,740,89,759,2,289,127,476,135,9
