년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,동작구,111,93,445,187,94,743,2,649,141,842,146,6
202112 ,동작구,111,93,439,182,94,732,2,621,141,815,147,6
202201 ,동작구,112,93,630,177,94,919,2,624,140,817,147,6
202202 ,동작구,110,93,492,177,94,779,2,604,140,794,130,6
202203 ,동작구,110,93,572,194,94,876,2,586,140,775,130,6
202204 ,동작구,109,93,713,193,95,15,2,594,140,783,130,6
202205 ,동작구,108,93,803,196,95,107,2,577,139,766,131,6
202206 ,동작구,108,93,873,181,95,162,2,563,138,751,131,6
202207 ,동작구,107,93,970,181,95,258,2,548,136,734,131,6
202208 ,동작구,109,93,861,185,95,155,2,538,137,724,130,6
202209 ,동작구,108,93,850,184,95,142,2,522,137,709,130,6
202210 ,동작구,108,93,806,173,95,87,2,514,136,700,129,6
202211 ,동작구,108,93,709,175,94,992,2,504,138,692,128,6
202212 ,동작구,105,93,620,185,94,910,2,498,136,684,129,6
202301 ,동작구,106,93,744,183,95,33,2,485,136,672,128,6
202302 ,동작구,106,93,586,177,94,869,2,471,136,657,128,6
202303 ,동작구,106,93,889,172,95,167,2,454,135,639,128,6
202304 ,동작구,107,94,169,176,95,452,2,438,135,623,128,6
202305 ,동작구,105,94,394,172,95,671,2,429,136,614,127,6
202306 ,동작구,109,94,521,165,95,795,2,408,134,591,126,6
202307 ,동작구,114,94,659,161,95,934,2,382,134,561,123,6
202308 ,동작구,112,94,694,154,95,960,2,365,131,541,123,6
202309 ,동작구,113,94,731,153,95,997,2,350,131,526,124,6
202310 ,동작구,113,94,615,150,95,878,2,344,132,522,125,6
202311 ,동작구,114,94,630,148,95,892,2,320,132,499,126,6
202312 ,동작구,110,94,584,144,95,838,2,308,133,488,122,6
202401 ,동작구,111,94,545,174,95,830,2,311,135,493,122,6
202402 ,동작구,111,94,422,139,95,672,2,305,132,484,122,6
202403 ,동작구,111,94,504,122,95,737,2,268,131,446,122,6
202404 ,동작구,111,94,610,114,95,835,2,248,132,427,122,6
202405 ,동작구,111,94,712,107,95,930,2,237,131,414,124,6
202406 ,동작구,112,94,797,96,96,5,2,236,132,414,125,6
202407 ,동작구,114,94,843,67,96,24,2,208,130,382,135,6
202408 ,동작구,115,94,686,119,95,920,2,189,130,364,135,6
202409 ,동작구,117,94,781,117,96,15,2,176,129,350,135,6
202410 ,동작구,118,94,799,118,96,35,2,156,129,330,135,6
202411 ,동작구,117,94,807,111,96,35,2,138,128,310,135,6
202412 ,동작구,117,94,670,110,95,897,2,125,128,297,134,6
202501 ,동작구,116,94,580,109,95,805,2,110,128,282,135,6
202502 ,동작구,116,94,501,157,95,774,2,91,128,262,135,6
202503 ,동작구,117,94,421,233,95,771,2,73,128,244,136,6
202504 ,동작구,117,94,398,237,95,752,2,60,128,231,136,6
202505 ,동작구,117,94,389,234,95,740,2,45,128,216,136,6
202506 ,동작구,117,94,520,233,95,870,2,38,128,210,136,6
202507 ,동작구,117,94,303,255,95,675,2,12,127,183,141,6
202508 ,동작구,118,94,216,256,95,590,2,4,127,175,142,6
202509 ,동작구,117,94,54,249,95,420,1,993,128,165,142,6
202510 ,동작구,117,94,31,241,95,389,1,968,127,140,142,6
202511 ,동작구,118,93,923,246,95,287,1,972,127,144,144,6
