년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,마포구,103,100,908,449,105,460,2,946,600,599,165,9
202112 ,마포구,102,100,945,417,105,464,2,928,596,579,166,9
202201 ,마포구,102,101,2,399,105,503,2,909,592,556,166,9
202202 ,마포구,102,100,918,395,105,415,2,912,594,561,162,9
202203 ,마포구,102,100,955,399,105,456,2,906,588,549,159,9
202204 ,마포구,100,100,976,357,105,433,2,885,618,558,158,9
202205 ,마포구,100,101,90,435,105,625,2,860,635,551,158,9
202206 ,마포구,101,100,920,493,105,514,2,849,636,541,160,9
202207 ,마포구,104,100,939,578,105,621,2,824,655,535,160,9
202208 ,마포구,103,100,895,564,105,562,2,806,655,520,160,9
202209 ,마포구,102,100,931,549,105,582,2,806,667,528,162,9
202210 ,마포구,102,100,951,567,105,620,2,800,664,519,165,9
202211 ,마포구,101,101,16,578,105,695,2,782,669,506,166,9
202212 ,마포구,94,101,279,571,105,944,2,768,667,489,164,9
202301 ,마포구,92,101,497,540,106,129,2,730,668,452,164,9
202302 ,마포구,92,101,638,491,106,221,2,714,667,435,164,9
202303 ,마포구,92,101,858,465,106,415,2,706,670,430,166,9
202304 ,마포구,93,101,904,441,106,438,2,687,670,411,166,9
202305 ,마포구,92,102,5,413,106,510,2,676,679,409,166,9
202306 ,마포구,92,102,92,441,106,625,2,670,686,412,166,9
202307 ,마포구,92,102,52,412,106,556,2,671,681,408,165,9
202308 ,마포구,92,101,964,423,106,479,2,664,674,394,165,9
202309 ,마포구,92,101,963,392,106,447,2,646,668,370,166,9
202310 ,마포구,95,101,885,380,106,360,2,651,659,366,165,9
202311 ,마포구,95,102,5,347,106,447,2,637,635,325,171,9
202312 ,마포구,95,101,937,325,106,357,2,636,633,324,172,9
202401 ,마포구,95,101,936,264,106,295,2,623,625,302,172,9
202402 ,마포구,95,101,740,212,106,47,2,612,624,290,172,9
202403 ,마포구,93,101,803,188,106,84,2,595,620,269,170,9
202404 ,마포구,93,101,846,186,106,125,2,578,623,255,177,9
202405 ,마포구,94,101,911,197,106,202,2,556,637,248,179,9
202406 ,마포구,94,101,896,240,106,230,2,535,633,223,180,9
202407 ,마포구,94,101,922,255,106,271,2,516,635,206,182,9
202408 ,마포구,95,101,855,234,106,184,2,493,639,187,177,9
202409 ,마포구,96,101,909,242,106,247,2,468,647,171,175,9
202410 ,마포구,94,101,820,266,106,180,2,452,650,158,171,9
202411 ,마포구,95,101,885,283,106,263,2,435,652,143,171,9
202412 ,마포구,97,101,747,273,106,117,2,429,654,139,171,9
202501 ,마포구,97,101,695,199,105,991,2,426,650,131,171,9
202502 ,마포구,98,101,631,124,105,853,2,405,656,116,171,9
202503 ,마포구,97,101,533,162,105,792,2,386,648,89,172,9
202504 ,마포구,97,101,419,189,105,705,2,372,653,80,170,9
202505 ,마포구,97,101,450,211,105,758,2,363,674,92,171,9
202506 ,마포구,98,101,503,183,105,784,2,347,675,77,171,9
202507 ,마포구,99,101,265,217,105,581,2,336,622,13,173,9
202508 ,마포구,104,101,204,178,105,486,2,320,618,992,173,9
202509 ,마포구,103,101,282,165,105,550,2,301,617,972,175,9
202510 ,마포구,103,101,236,135,105,474,2,279,615,948,177,9
202511 ,마포구,98,101,304,83,105,485,2,269,612,937,179,8
