년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,서대문구,204,74,673,262,78,139,2,349,420,873,138,6
202112 ,서대문구,203,74,574,165,77,942,2,331,415,850,138,6
202201 ,서대문구,203,74,846,158,78,207,2,310,413,827,138,6
202202 ,서대문구,203,75,58,51,78,312,2,295,408,807,137,6
202203 ,서대문구,203,74,989,61,78,253,2,280,408,792,134,6
202204 ,서대문구,190,75,49,64,78,303,2,281,404,783,134,6
202205 ,서대문구,190,75,200,93,78,483,2,275,407,780,132,6
202206 ,서대문구,190,75,266,105,78,561,2,263,406,776,132,5
202207 ,서대문구,191,75,359,105,78,655,2,241,408,757,133,5
202208 ,서대문구,197,75,543,125,78,865,2,240,429,777,133,6
202209 ,서대문구,199,75,705,151,79,55,2,218,431,759,133,5
202210 ,서대문구,201,75,841,171,79,213,2,211,433,751,134,5
202211 ,서대문구,203,76,125,176,79,504,2,211,432,751,132,5
202212 ,서대문구,219,76,550,232,80,1,2,209,434,751,131,5
202301 ,서대문구,209,76,981,248,80,438,2,214,437,759,131,5
202302 ,서대문구,206,77,261,248,80,715,2,219,439,766,131,6
202303 ,서대문구,206,77,411,262,80,879,2,214,439,761,131,6
202304 ,서대문구,205,77,529,266,81,0,2,197,440,745,131,6
202305 ,서대문구,185,77,580,210,80,975,2,180,430,713,131,6
202306 ,서대문구,203,77,624,206,81,33,2,167,429,697,131,5
202307 ,서대문구,206,77,666,217,81,89,2,152,428,680,132,5
202308 ,서대문구,207,77,588,217,81,12,2,141,426,668,132,5
202309 ,서대문구,208,77,620,220,81,48,2,133,425,661,133,5
202310 ,서대문구,207,77,559,230,80,996,2,127,422,652,135,5
202311 ,서대문구,207,77,594,215,81,16,2,105,403,609,136,5
202312 ,서대문구,207,77,539,208,80,954,2,105,404,610,133,5
202401 ,서대문구,196,77,579,215,80,990,2,74,401,574,129,5
202402 ,서대문구,196,77,623,216,81,35,2,79,404,582,131,5
202403 ,서대문구,197,77,606,225,81,28,2,65,401,565,129,5
202404 ,서대문구,197,77,645,260,81,102,2,52,400,552,130,5
202405 ,서대문구,200,77,698,298,81,196,2,47,402,555,141,5
202406 ,서대문구,207,77,745,377,81,329,2,39,400,544,140,5
202407 ,서대문구,210,77,718,414,81,342,2,3,401,509,140,5
202408 ,서대문구,209,77,691,436,81,336,1,983,402,491,134,5
202409 ,서대문구,210,77,678,441,81,329,1,968,402,476,133,5
202410 ,서대문구,210,77,555,444,81,209,1,960,403,469,133,5
202411 ,서대문구,205,77,539,446,81,190,1,942,402,445,134,5
202412 ,서대문구,205,77,391,444,81,40,1,931,403,435,134,5
202501 ,서대문구,205,77,353,440,80,998,1,932,400,433,135,5
202502 ,서대문구,207,77,229,436,80,872,1,930,398,428,134,5
202503 ,서대문구,206,77,177,414,80,797,1,923,397,420,134,5
202504 ,서대문구,207,77,177,410,80,794,1,912,397,409,137,5
202505 ,서대문구,208,77,94,410,80,712,1,902,399,401,136,5
202506 ,서대문구,213,77,90,413,80,716,1,895,400,395,135,5
202507 ,서대문구,212,77,197,413,80,822,1,874,400,373,136,5
202508 ,서대문구,212,77,292,405,80,909,1,869,400,368,135,5
202509 ,서대문구,213,77,344,406,80,963,1,857,403,359,135,5
202510 ,서대문구,215,77,372,423,81,10,1,839,405,343,135,5
202511 ,서대문구,215,77,418,425,81,58,1,826,405,330,135,5
