년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,서초구,208,151,731,967,156,906,3,410,741,279,178,10
202112 ,서초구,207,151,378,952,156,537,3,374,721,223,177,10
202201 ,서초구,207,151,225,915,156,347,3,362,717,207,177,10
202202 ,서초구,207,151,67,930,156,204,3,334,716,178,175,10
202203 ,서초구,208,150,923,22,156,153,3,313,719,159,174,10
202204 ,서초구,207,150,865,40,156,112,3,281,714,122,174,10
202205 ,서초구,206,150,804,97,156,107,3,256,730,113,174,10
202206 ,서초구,207,150,682,162,156,51,3,232,728,88,180,10
202207 ,서초구,204,150,800,41,156,45,3,218,750,95,177,10
202208 ,서초구,204,150,325,93,155,622,3,212,753,95,176,10
202209 ,서초구,202,150,809,993,156,4,3,190,737,57,178,10
202210 ,서초구,214,150,886,915,156,15,3,163,737,30,179,10
202211 ,서초구,204,151,178,949,156,331,3,143,739,10,176,10
202212 ,서초구,217,151,437,892,156,546,3,155,739,24,174,10
202301 ,서초구,200,151,621,927,156,748,3,138,734,2,174,10
202302 ,서초구,185,151,70,873,156,128,3,124,717,966,173,10
202303 ,서초구,179,151,151,845,156,175,3,117,713,944,172,10
202304 ,서초구,185,151,51,785,156,21,3,99,710,939,179,10
202305 ,서초구,185,151,360,750,156,295,3,78,691,900,179,10
202306 ,서초구,199,151,818,727,156,744,3,69,690,891,180,10
202307 ,서초구,188,151,910,124,156,222,3,59,692,884,181,10
202308 ,서초구,187,151,948,95,156,230,3,19,688,839,180,10
202309 ,서초구,187,152,741,96,157,24,3,5,684,821,183,10
202310 ,서초구,184,152,688,36,156,908,2,988,655,775,181,10
202311 ,서초구,179,152,815,37,157,31,2,986,647,766,182,10
202312 ,서초구,178,152,891,992,157,61,3,13,644,792,182,10
202401 ,서초구,178,152,590,51,156,819,3,8,662,804,181,10
202402 ,서초구,173,152,578,949,156,700,2,992,663,785,181,10
202403 ,서초구,172,152,542,972,156,686,2,974,665,768,181,10
202404 ,서초구,172,152,561,918,156,651,2,968,666,763,187,10
202405 ,서초구,206,152,523,880,156,609,2,948,671,748,182,10
202406 ,서초구,178,152,864,909,156,951,2,947,650,727,182,10
202407 ,서초구,186,153,36,849,157,71,2,938,647,722,184,10
202408 ,서초구,176,153,184,805,157,165,2,940,646,720,183,10
202409 ,서초구,177,153,500,817,157,494,2,930,648,709,184,10
202410 ,서초구,176,153,700,735,157,611,2,934,657,719,184,10
202411 ,서초구,182,153,856,737,157,775,2,927,658,719,183,10
202412 ,서초구,178,153,948,692,157,818,2,914,651,698,182,10
202501 ,서초구,172,153,574,673,157,419,2,919,650,700,183,10
202502 ,서초구,174,153,466,600,157,240,2,887,646,664,183,10
202503 ,서초구,173,153,392,508,157,73,2,857,648,635,182,10
202504 ,서초구,204,153,481,371,157,56,2,854,649,633,181,10
202505 ,서초구,175,153,429,345,156,949,2,817,647,594,181,10
202506 ,서초구,174,153,368,236,156,778,2,795,654,581,182,10
202507 ,서초구,224,153,911,87,157,222,2,775,644,548,182,10
202508 ,서초구,201,154,761,79,158,41,2,775,642,549,182,10
202509 ,서초구,185,155,300,64,158,549,2,751,638,519,183,10
202510 ,서초구,181,155,573,83,158,837,2,739,636,504,183,10
202511 ,서초구,174,155,650,127,158,951,2,733,633,495,185,10
