년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,성동구,122,82,510,466,92,98,2,245,876,164,162,8
202112 ,성동구,120,82,640,411,93,171,2,224,880,147,161,8
202201 ,성동구,123,82,519,619,92,261,2,210,787,41,163,8
202202 ,성동구,121,82,498,557,92,176,2,190,815,52,185,8
202203 ,성동구,121,82,651,31,91,803,2,185,838,70,187,8
202204 ,성동구,123,82,721,972,91,816,2,159,860,66,178,8
202205 ,성동구,123,82,808,920,91,851,2,135,868,50,178,8
202206 ,성동구,121,82,825,896,91,842,2,127,897,70,191,8
202207 ,성동구,120,82,853,789,91,762,2,115,901,62,193,8
202208 ,성동구,124,82,686,812,91,622,2,98,905,49,187,8
202209 ,성동구,125,82,754,585,91,464,2,97,923,66,185,8
202210 ,성동구,123,82,673,504,91,300,2,77,929,52,180,8
202211 ,성동구,119,82,832,99,91,50,2,63,930,39,177,8
202212 ,성동구,119,82,795,320,90,234,2,37,924,9,183,8
202301 ,성동구,119,82,773,129,90,21,2,29,928,5,183,8
202302 ,성동구,119,82,402,42,89,563,2,15,927,989,182,8
202303 ,성동구,118,82,308,297,90,723,1,990,899,935,181,8
202304 ,성동구,118,82,277,314,90,709,1,958,883,887,181,8
202305 ,성동구,120,82,181,277,90,578,1,935,894,876,181,8
202306 ,성동구,120,82,241,155,90,516,1,916,894,857,180,8
202307 ,성동구,123,82,244,103,90,470,1,888,889,824,179,8
202308 ,성동구,123,82,113,881,90,117,1,896,889,832,175,8
202309 ,성동구,120,82,92,921,90,133,1,890,894,832,175,8
202310 ,성동구,121,82,18,576,90,715,1,868,904,820,175,8
202311 ,성동구,121,82,110,536,90,767,1,860,923,832,175,8
202312 ,성동구,129,82,202,443,90,774,1,866,926,842,175,8
202401 ,성동구,131,82,331,751,91,213,1,861,953,864,178,8
202402 ,성동구,131,82,260,753,91,144,1,867,962,878,176,8
202403 ,성동구,131,82,262,640,91,33,1,863,956,868,176,8
202404 ,성동구,131,82,289,711,91,131,1,851,960,858,176,8
202405 ,성동구,131,82,350,778,91,259,1,838,953,837,179,8
202406 ,성동구,131,82,495,974,91,600,1,818,992,856,177,8
202407 ,성동구,131,82,387,886,91,404,1,806,988,840,177,8
202408 ,성동구,132,82,131,166,91,429,1,792,982,820,179,8
202409 ,성동구,132,82,49,179,91,360,1,766,977,789,178,8
202410 ,성동구,132,81,960,91,91,183,1,762,977,785,179,8
202411 ,성동구,131,82,31,996,91,158,1,739,975,760,177,8
202412 ,성동구,132,82,22,756,90,910,1,739,963,749,176,8
202501 ,성동구,131,82,16,41,91,188,1,726,960,733,176,8
202502 ,성동구,131,81,943,660,90,734,1,702,929,679,178,8
202503 ,성동구,134,81,954,982,91,70,1,690,931,669,178,8
202504 ,성동구,134,81,955,683,90,772,1,685,934,667,180,7
202505 ,성동구,134,82,112,925,90,171,1,688,904,641,180,7
202506 ,성동구,135,82,117,699,90,951,1,675,940,664,180,7
202507 ,성동구,135,82,147,586,90,868,1,668,931,649,180,8
202508 ,성동구,134,82,412,634,91,180,1,641,930,621,179,8
202509 ,성동구,134,82,548,900,91,582,1,626,929,605,179,8
202510 ,성동구,134,82,602,660,91,396,1,619,928,596,179,8
202511 ,성동구,134,82,748,217,91,99,1,629,925,604,178,8
