년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,성북구,94,103,399,232,105,725,3,321,1,4,498,148
202112 ,성북구,95,103,283,190,105,568,3,306,1,4,476,149
202201 ,성북구,95,103,410,191,105,696,3,285,1,4,455,149
202202 ,성북구,95,103,807,160,106,62,3,277,1,4,446,149
202203 ,성북구,95,104,302,180,106,577,3,249,1,4,423,150
202204 ,성북구,95,104,554,137,106,786,3,228,1,4,402,149
202205 ,성북구,96,104,784,135,107,15,3,227,1,4,401,149
202206 ,성북구,96,104,927,137,107,160,3,201,1,4,377,149
202207 ,성북구,94,105,123,138,107,355,3,198,1,4,370,151
202208 ,성북구,94,105,174,143,107,411,3,199,1,4,370,151
202209 ,성북구,94,105,195,137,107,426,3,179,1,4,350,153
202210 ,성북구,94,105,178,138,107,410,3,163,1,4,335,153
202211 ,성북구,94,105,238,138,107,470,3,129,1,4,300,153
202212 ,성북구,95,105,252,131,107,478,3,118,1,4,289,149
202301 ,성북구,95,105,359,126,107,580,3,114,1,4,287,149
202302 ,성북구,95,105,416,127,107,638,3,82,1,4,256,148
202303 ,성북구,96,105,432,127,107,655,3,63,1,4,239,148
202304 ,성북구,91,105,530,128,107,749,3,48,1,4,228,145
202305 ,성북구,97,105,533,128,107,758,3,40,1,4,220,145
202306 ,성북구,96,105,597,129,107,822,3,29,1,4,208,145
202307 ,성북구,96,105,576,123,107,795,3,16,1,4,193,144
202308 ,성북구,96,105,471,129,107,696,3,7,1,4,185,144
202309 ,성북구,96,105,497,122,107,715,2,984,1,4,163,145
202310 ,성북구,96,105,482,129,107,707,2,962,1,4,144,145
202311 ,성북구,96,105,478,134,107,708,2,957,1,4,140,145
202312 ,성북구,96,105,387,126,107,609,2,954,1,4,134,142
202401 ,성북구,95,105,347,47,107,489,2,942,1,4,104,144
202402 ,성북구,95,105,227,41,107,363,2,929,1,4,89,143
202403 ,성북구,94,105,211,43,107,348,2,910,1,4,57,143
202404 ,성북구,94,105,236,42,107,372,2,894,1,4,42,138
202405 ,성북구,94,105,272,22,107,388,2,860,1,4,9,138
202406 ,성북구,94,105,340,11,107,445,2,835,1,3,984,138
202407 ,성북구,96,105,373,5,107,474,2,795,1,3,947,138
202408 ,성북구,96,105,369,5,107,470,2,781,1,3,934,138
202409 ,성북구,95,105,355,1,107,451,2,753,1,3,907,140
202410 ,성북구,93,105,333,998,107,424,2,738,1,3,890,140
202411 ,성북구,91,105,351,985,107,427,2,724,1,3,877,139
202412 ,성북구,91,105,298,993,107,382,2,702,1,3,853,142
202501 ,성북구,92,105,216,985,107,293,2,679,1,3,827,141
202502 ,성북구,92,104,955,982,107,29,2,661,1,3,805,141
202503 ,성북구,92,104,827,989,106,908,2,622,1,3,765,143
202504 ,성북구,92,105,212,0,107,304,2,591,1,3,731,141
202505 ,성북구,92,105,816,15,107,923,2,590,1,3,733,143
202506 ,성북구,93,106,227,4,108,324,2,585,1,3,726,146
202507 ,성북구,93,106,307,6,108,406,2,566,1,3,706,146
202508 ,성북구,93,106,364,21,108,478,2,553,1,3,692,147
202509 ,성북구,93,106,450,14,108,557,2,538,1,3,676,144
202510 ,성북구,93,106,361,12,108,466,2,517,1,3,651,144
202511 ,성북구,93,106,425,22,108,540,2,503,1,3,638,142
