년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,송파구,126,202,495,501,209,122,4,679,1,6,406,157
202112 ,송파구,125,202,318,531,208,974,4,670,1,6,397,160
202201 ,송파구,125,202,779,615,209,519,4,631,1,6,350,160
202202 ,송파구,123,203,765,732,210,620,4,608,1,6,323,159
202203 ,송파구,124,204,346,754,211,224,4,576,1,6,298,159
202204 ,송파구,124,204,876,839,211,839,4,558,1,6,304,157
202205 ,송파구,125,205,123,899,212,147,4,549,1,6,292,156
202206 ,송파구,125,205,376,977,212,478,4,521,1,6,270,156
202207 ,송파구,125,205,778,78,212,981,4,516,1,6,271,157
202208 ,송파구,125,205,829,105,213,59,4,515,1,6,270,158
202209 ,송파구,128,206,58,153,213,339,4,478,1,6,241,158
202210 ,송파구,127,206,104,139,213,370,4,468,1,6,238,159
202211 ,송파구,129,206,249,218,213,596,4,463,1,6,233,159
202212 ,송파구,129,206,371,217,213,717,4,445,1,6,224,160
202301 ,송파구,132,206,606,258,213,996,4,426,1,6,213,158
202302 ,송파구,132,206,826,270,214,228,4,401,1,6,197,158
202303 ,송파구,133,206,859,213,214,205,4,367,1,6,174,158
202304 ,송파구,132,206,996,158,214,286,4,308,1,6,112,160
202305 ,송파구,130,206,913,172,214,215,4,286,1,6,88,166
202306 ,송파구,131,207,312,188,214,631,4,276,1,6,85,166
202307 ,송파구,131,207,384,192,214,707,4,259,1,6,67,166
202308 ,송파구,132,207,113,215,214,460,4,231,1,6,39,165
202309 ,송파구,129,207,324,282,214,735,4,208,1,5,997,166
202310 ,송파구,130,207,375,330,214,835,4,166,1,5,960,165
202311 ,송파구,128,207,431,277,214,836,4,159,1,5,925,165
202312 ,송파구,127,207,167,292,214,586,4,142,1,5,892,165
202401 ,송파구,127,207,7,248,214,382,4,120,1,5,852,165
202402 ,송파구,127,207,281,280,214,688,4,101,1,5,847,163
202403 ,송파구,128,207,115,270,214,513,4,99,1,5,853,163
202404 ,송파구,127,207,155,316,214,598,4,67,1,5,787,164
202405 ,송파구,126,207,215,376,214,717,4,63,1,5,793,163
202406 ,송파구,124,207,228,458,214,810,4,47,1,5,780,161
202407 ,송파구,131,207,74,539,214,744,3,999,1,5,740,160
202408 ,송파구,130,206,948,592,214,670,3,962,1,5,698,160
202409 ,송파구,130,207,76,567,214,773,3,950,1,5,678,160
202410 ,송파구,129,207,235,548,214,912,3,919,1,5,631,160
202411 ,송파구,130,207,361,536,215,27,3,900,1,5,612,160
202412 ,송파구,128,206,771,477,214,376,3,879,1,5,600,158
202501 ,송파구,128,206,481,482,214,91,3,862,1,5,572,158
202502 ,송파구,128,206,315,451,213,894,3,845,1,5,556,158
202503 ,송파구,128,206,204,414,213,746,3,822,1,5,520,158
202504 ,송파구,128,206,148,477,213,753,3,807,1,5,500,162
202505 ,송파구,129,206,8,490,213,627,3,805,1,5,488,161
202506 ,송파구,129,205,979,597,213,705,3,781,1,5,455,160
202507 ,송파구,129,205,771,634,213,534,3,760,1,5,433,160
202508 ,송파구,129,205,708,652,213,489,3,743,1,5,421,160
202509 ,송파구,131,205,746,619,213,496,3,694,1,5,371,161
202510 ,송파구,131,205,535,635,213,301,3,677,1,5,350,159
202511 ,송파구,132,205,367,630,213,129,3,644,1,5,321,159
