년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,양천구,120,127,29,528,131,677,3,578,769,404,136,11
202112 ,양천구,119,127,140,538,131,797,3,555,768,381,136,11
202201 ,양천구,119,127,182,522,131,823,3,542,764,364,136,11
202202 ,양천구,119,127,107,503,131,729,3,533,762,353,136,11
202203 ,양천구,120,127,116,432,131,668,3,518,760,334,136,11
202204 ,양천구,119,127,225,425,131,769,3,492,756,304,135,11
202205 ,양천구,119,127,239,428,131,786,3,493,759,309,134,11
202206 ,양천구,119,127,248,459,131,826,3,463,761,282,134,11
202207 ,양천구,120,127,526,456,132,102,3,452,759,268,134,11
202208 ,양천구,122,127,458,462,132,42,3,445,758,262,138,11
202209 ,양천구,121,127,633,443,132,197,3,411,759,230,139,11
202210 ,양천구,121,127,511,469,132,101,3,398,760,216,140,11
202211 ,양천구,122,127,627,494,132,243,3,398,762,218,139,11
202212 ,양천구,121,127,739,503,132,363,3,374,759,192,137,11
202301 ,양천구,121,127,782,501,132,404,3,360,758,177,137,11
202302 ,양천구,121,127,815,496,132,432,3,339,755,153,136,11
202303 ,양천구,121,127,697,505,132,323,3,324,756,139,136,11
202304 ,양천구,125,127,794,430,132,349,3,322,758,139,136,11
202305 ,양천구,126,127,797,427,132,350,3,281,757,99,138,11
202306 ,양천구,127,127,768,393,132,288,3,284,757,102,140,11
202307 ,양천구,127,127,754,413,132,294,3,274,754,88,140,11
202308 ,양천구,126,127,766,455,132,347,3,272,753,86,141,11
202309 ,양천구,127,127,915,452,132,494,3,245,755,62,142,11
202310 ,양천구,127,127,918,438,132,483,3,223,756,41,141,11
202311 ,양천구,127,128,23,420,132,570,3,201,753,16,141,11
202312 ,양천구,127,127,890,414,132,431,3,187,751,998,141,11
202401 ,양천구,128,128,184,401,132,713,3,169,755,984,140,11
202402 ,양천구,130,128,393,374,132,897,3,180,756,996,140,11
202403 ,양천구,129,127,854,361,132,344,3,114,756,930,140,11
202404 ,양천구,129,127,483,353,131,965,3,114,760,934,142,11
202405 ,양천구,129,127,459,328,131,916,3,92,762,914,143,11
202406 ,양천구,130,127,359,307,131,796,3,80,760,900,144,11
202407 ,양천구,131,127,355,366,131,852,3,66,734,861,145,11
202408 ,양천구,131,127,351,393,131,875,3,36,730,827,147,11
202409 ,양천구,130,127,384,417,131,931,3,24,733,818,146,11
202410 ,양천구,129,127,320,434,131,883,2,996,734,791,144,10
202411 ,양천구,129,127,268,450,131,847,2,964,734,760,145,10
202412 ,양천구,130,127,244,451,131,825,2,962,733,759,144,10
202501 ,양천구,130,127,266,675,132,71,2,950,734,748,144,10
202502 ,양천구,129,127,85,727,131,941,2,911,734,709,144,10
202503 ,양천구,131,126,938,797,131,866,2,906,734,705,145,10
202504 ,양천구,129,126,828,807,131,764,2,901,735,700,147,10
202505 ,양천구,131,126,748,808,131,687,2,870,733,666,145,10
202506 ,양천구,130,126,770,803,131,703,2,851,734,648,144,10
202507 ,양천구,130,126,512,830,131,472,2,837,737,637,145,10
202508 ,양천구,130,126,359,851,131,340,2,828,737,628,145,10
202509 ,양천구,129,126,203,866,131,198,2,800,736,600,144,10
202510 ,양천구,129,126,213,879,131,221,2,777,742,583,145,10
202511 ,양천구,129,126,271,893,131,293,2,761,741,568,146,10
