년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,영등포구,132,117,4,713,120,849,4,317,172,544,173,14
202112 ,영등포구,132,117,96,707,120,935,4,303,171,531,177,15
202201 ,영등포구,132,117,251,696,121,79,4,284,171,512,178,15
202202 ,영등포구,134,117,247,692,121,73,4,291,172,520,178,15
202203 ,영등포구,137,117,58,690,120,885,4,265,172,495,178,14
202204 ,영등포구,136,117,31,642,120,809,4,192,168,418,175,14
202205 ,영등포구,137,117,120,640,120,897,4,173,167,398,169,14
202206 ,영등포구,138,117,261,637,121,36,4,139,168,365,170,14
202207 ,영등포구,134,117,576,646,121,356,4,131,166,355,171,14
202208 ,영등포구,133,117,710,651,121,494,4,110,163,331,169,14
202209 ,영등포구,135,117,615,199,120,949,4,95,162,314,169,13
202210 ,영등포구,135,117,664,157,120,956,4,71,160,288,172,13
202211 ,영등포구,135,117,501,138,120,774,4,64,160,282,169,13
202212 ,영등포구,140,117,615,133,120,888,4,47,158,262,170,13
202301 ,영등포구,141,117,788,115,121,44,4,46,156,259,170,13
202302 ,영등포구,136,117,819,98,121,53,4,12,162,231,169,13
202303 ,영등포구,124,117,820,75,121,19,3,981,163,200,168,13
202304 ,영등포구,125,117,759,48,120,932,3,976,170,202,168,13
202305 ,영등포구,126,117,895,29,121,50,3,946,170,174,174,13
202306 ,영등포구,130,118,40,34,121,204,3,924,170,152,170,13
202307 ,영등포구,132,118,240,969,121,341,3,903,170,131,169,13
202308 ,영등포구,131,118,4,958,121,93,3,871,172,101,169,13
202309 ,영등포구,130,118,155,951,121,236,3,869,172,100,169,13
202310 ,영등포구,130,118,159,948,121,237,3,865,173,97,168,13
202311 ,영등포구,125,118,310,976,121,411,3,851,172,82,165,13
202312 ,영등포구,125,118,319,945,121,389,3,848,173,80,166,13
202401 ,영등포구,125,118,489,955,121,569,3,821,173,52,166,13
202402 ,영등포구,126,118,454,930,121,510,3,802,177,37,166,13
202403 ,영등포구,126,118,455,950,121,531,3,793,179,30,167,13
202404 ,영등포구,129,118,551,927,121,607,3,758,179,995,168,13
202405 ,영등포구,130,118,614,940,121,684,3,714,178,950,168,13
202406 ,영등포구,128,118,767,930,121,825,3,696,179,934,168,13
202407 ,영등포구,128,118,726,920,121,774,3,652,177,891,167,13
202408 ,영등포구,128,118,418,918,121,464,3,621,180,862,168,13
202409 ,영등포구,127,118,575,906,121,608,3,598,182,842,170,13
202410 ,영등포구,127,118,556,906,121,589,3,565,180,807,170,13
202411 ,영등포구,127,118,610,925,121,662,3,544,182,788,171,12
202412 ,영등포구,125,118,437,929,121,491,3,512,187,762,174,12
202501 ,영등포구,125,118,294,902,121,321,3,486,184,733,174,12
202502 ,영등포구,127,118,217,878,121,222,3,485,183,732,176,12
202503 ,영등포구,129,118,293,871,121,293,3,462,183,709,175,12
202504 ,영등포구,130,118,244,853,121,227,3,424,185,672,175,12
202505 ,영등포구,131,118,172,743,121,46,3,414,190,665,174,12
202506 ,영등포구,130,118,63,761,120,954,3,383,198,641,174,12
202507 ,영등포구,126,118,49,745,120,920,3,361,196,618,170,12
202508 ,영등포구,126,117,750,746,120,622,3,343,198,602,170,12
202509 ,영등포구,126,117,815,737,120,678,3,314,202,576,171,12
202510 ,영등포구,126,117,588,726,120,440,3,298,200,558,170,12
202511 ,영등포구,127,117,654,761,120,542,3,264,199,523,170,12
