년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,용산구,136,69,803,1,70,940,2,80,60,195,136,5
202112 ,용산구,135,69,749,1,70,885,2,80,60,195,137,5
202201 ,용산구,135,69,698,70,828,55,61,60,2,137,5,268
202202 ,용산구,135,69,673,70,796,55,56,60,2,137,5,249
202203 ,용산구,135,69,534,70,660,55,36,59,2,138,5,260
202204 ,용산구,133,65,330,66,452,55,44,59,2,137,5,253
202205 ,용산구,134,65,446,66,575,55,36,58,2,136,5,271
202206 ,용산구,135,65,519,225,66,879,2,11,58,125,134,5
202207 ,용산구,136,65,406,225,66,767,2,9,57,129,137,5
202208 ,용산구,244,65,451,227,66,922,2,5,57,190,145,5
202209 ,용산구,244,65,460,240,66,944,2,1,57,186,145,5
202210 ,용산구,246,65,434,269,66,949,2,3,57,188,146,5
202211 ,용산구,246,65,422,337,67,5,1,990,58,176,145,5
202212 ,용산구,239,65,407,330,66,976,1,985,66,176,144,5
202301 ,용산구,239,65,440,338,67,17,1,989,67,181,143,5
202302 ,용산구,238,65,483,321,67,42,1,978,69,171,143,5
202303 ,용산구,236,65,412,305,66,953,1,962,68,153,142,5
202304 ,용산구,237,65,421,305,66,963,1,962,68,153,143,5
202305 ,용산구,245,65,393,307,66,945,1,950,68,141,145,5
202306 ,용산구,247,65,446,320,67,13,1,936,67,126,149,5
202307 ,용산구,247,65,436,322,67,5,1,933,66,121,147,5
202308 ,용산구,253,65,356,312,66,921,1,921,66,110,147,5
202309 ,용산구,254,65,343,295,66,892,1,914,68,105,146,5
202310 ,용산구,252,65,235,294,66,781,1,901,68,92,145,5
202311 ,용산구,253,65,75,274,66,602,1,882,67,73,153,5
202312 ,용산구,250,64,908,288,66,446,1,880,67,70,154,5
202401 ,용산구,251,64,717,303,66,271,1,859,65,46,154,5
202402 ,용산구,248,64,540,294,66,82,1,846,71,38,153,5
202403 ,용산구,246,64,323,278,65,847,1,819,72,12,153,5
202404 ,용산구,248,64,49,258,65,555,1,808,73,999,153,4
202405 ,용산구,255,63,874,276,65,405,1,787,73,978,154,4
202406 ,용산구,258,63,834,276,65,368,1,783,73,974,154,5
202407 ,용산구,258,63,715,273,65,246,1,768,72,958,153,4
202408 ,용산구,260,63,683,279,65,222,1,767,77,962,154,4
202409 ,용산구,262,63,707,275,65,244,1,753,76,947,155,4
202410 ,용산구,263,63,615,258,65,136,1,730,79,928,160,4
202411 ,용산구,263,63,620,162,65,45,1,737,77,935,159,4
202412 ,용산구,261,63,515,160,64,936,1,726,75,926,155,4
202501 ,용산구,260,63,485,164,64,909,1,715,75,914,154,4
202502 ,용산구,260,63,519,161,64,940,1,725,77,927,153,4
202503 ,용산구,258,63,380,141,64,779,1,701,77,904,150,4
202504 ,용산구,262,63,412,131,64,805,1,689,77,891,150,4
202505 ,용산구,262,63,457,120,64,839,1,696,77,898,150,4
202506 ,용산구,262,63,507,119,64,888,1,688,75,888,150,4
202507 ,용산구,261,63,38,121,64,420,1,652,75,849,150,4
202508 ,용산구,261,62,997,111,64,369,1,646,74,840,150,4
202509 ,용산구,262,63,21,111,64,394,1,635,73,827,150,4
202510 ,용산구,266,62,997,120,64,383,1,621,73,813,150,4
202511 ,용산구,267,62,928,116,64,311,1,619,73,810,150,4
