년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,은평구,101,111,694,980,115,775,3,671,746,462,146,10
202112 ,은평구,100,111,829,997,115,926,3,631,745,422,149,10
202201 ,은평구,101,111,919,998,116,18,3,604,744,394,147,10
202202 ,은평구,100,111,957,81,116,138,3,583,747,375,143,10
202203 ,은평구,98,111,883,123,116,104,3,574,751,369,142,10
202204 ,은평구,98,112,394,126,116,618,3,574,751,369,139,10
202205 ,은평구,99,112,777,132,117,8,3,562,751,356,136,10
202206 ,은평구,99,112,936,125,117,160,3,545,751,341,141,10
202207 ,은평구,99,113,92,126,117,317,3,533,751,328,145,10
202208 ,은평구,100,113,119,116,117,335,3,504,750,302,143,10
202209 ,은평구,102,113,76,128,117,306,3,492,747,287,140,10
202210 ,은평구,102,113,7,134,117,243,3,459,748,253,140,10
202211 ,은평구,98,112,953,106,117,157,3,443,747,236,140,10
202212 ,은평구,97,112,672,82,116,851,3,409,747,201,138,10
202301 ,은평구,97,112,746,73,116,916,3,387,747,178,135,10
202302 ,은평구,93,112,607,72,116,772,3,375,745,163,135,10
202303 ,은평구,94,112,555,61,116,710,3,337,746,126,135,10
202304 ,은평구,93,112,577,58,116,728,3,320,744,107,136,10
202305 ,은평구,94,112,473,121,116,688,3,293,738,74,138,10
202306 ,은평구,95,112,519,103,116,717,3,268,738,50,138,10
202307 ,은평구,96,112,825,94,117,15,3,241,737,21,138,10
202308 ,은평구,95,113,567,103,117,765,3,215,735,993,139,10
202309 ,은평구,101,114,146,114,118,361,3,202,734,980,138,10
202310 ,은평구,101,114,470,109,118,680,3,181,737,962,141,10
202311 ,은평구,101,114,571,120,118,792,3,143,738,925,140,10
202312 ,은평구,100,114,497,125,118,722,3,118,737,899,141,9
202401 ,은평구,99,114,501,57,118,657,3,107,730,881,139,9
202402 ,은평구,99,114,406,61,118,566,3,87,729,861,139,9
202403 ,은평구,99,114,527,47,118,673,3,54,730,829,139,9
202404 ,은평구,100,114,534,53,118,687,3,35,743,823,140,9
202405 ,은평구,100,114,579,53,118,732,3,14,741,801,139,9
202406 ,은평구,100,114,409,51,118,560,2,977,740,763,139,9
202407 ,은평구,100,114,333,44,118,477,2,949,740,735,140,9
202408 ,은평구,101,114,108,38,118,247,2,931,743,721,143,9
202409 ,은평구,101,114,103,30,118,234,2,916,743,706,141,9
202410 ,은평구,101,113,954,25,118,80,2,890,743,680,143,9
202411 ,은평구,101,113,921,31,118,53,2,883,743,672,142,9
202412 ,은평구,101,113,914,50,118,65,2,853,748,647,139,9
202501 ,은평구,100,114,83,79,118,262,2,837,749,632,139,9
202502 ,은평구,100,113,994,85,118,179,2,829,748,623,138,9
202503 ,은평구,100,113,913,76,118,89,2,803,748,597,139,9
202504 ,은평구,100,113,841,110,118,51,2,775,749,570,138,9
202505 ,은평구,100,113,746,139,117,985,2,753,755,554,143,9
202506 ,은평구,100,113,724,147,117,971,2,739,755,539,141,9
202507 ,은평구,100,113,803,158,118,61,2,733,752,530,136,9
202508 ,은평구,100,113,762,179,118,41,2,717,748,513,136,9
202509 ,은평구,100,113,578,180,117,858,2,694,751,494,137,9
202510 ,은평구,100,113,410,173,117,683,2,678,750,477,138,9
202511 ,은평구,101,113,294,184,117,579,2,650,750,446,138,9
