년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,종로구,1,699,39,741,41,465,645,1,652,3,553,358
202112 ,종로구,1,736,38,743,41,475,666,1,654,3,576,371
202201 ,종로구,1,736,39,674,41,451,678,1,643,3,576,365
202202 ,종로구,1,735,38,1,339,42,1,678,1,256,3,574
202203 ,종로구,1,737,38,1,297,41,1,678,1,255,3,559
202204 ,종로구,1,739,38,1,270,41,1,683,1,256,3,561
202205 ,종로구,1,686,38,1,227,41,1,687,1,256,3,540
202206 ,종로구,1,685,38,1,78,41,1,737,1,256,3,580
202207 ,종로구,1,686,38,952,41,594,760,1,587,3,603,361
202208 ,종로구,1,515,38,879,41,359,696,1,589,3,539,353
202209 ,종로구,1,509,38,858,41,292,696,1,583,3,534,353
202210 ,종로구,1,538,38,830,41,333,697,1,574,3,526,353
202211 ,종로구,1,538,39,811,41,373,650,1,559,3,465,346
202212 ,종로구,1,703,39,798,41,557,659,1,558,3,472,344
202301 ,종로구,1,717,39,773,41,556,674,1,555,3,484,346
202302 ,종로구,1,722,39,741,41,574,678,1,557,3,490,345
202303 ,종로구,1,770,39,729,41,616,660,1,553,3,470,343
202304 ,종로구,1,753,39,714,41,598,572,1,545,3,374,341
202305 ,종로구,1,803,39,703,41,620,571,1,535,3,364,341
202306 ,종로구,1,656,39,649,41,460,549,1,534,3,342,341
202307 ,종로구,1,587,39,584,41,583,553,1,533,3,346,343
202308 ,종로구,1,520,39,555,41,512,556,1,523,3,337,342
202309 ,종로구,1,515,39,554,41,544,521,1,517,3,296,343
202310 ,종로구,1,516,39,550,41,555,524,1,508,3,291,346
202311 ,종로구,1,515,39,547,41,574,524,1,501,3,282,349
202312 ,종로구,1,579,39,560,41,598,535,1,502,3,303,348
202401 ,종로구,1,649,39,550,41,682,534,1,506,3,302,346
202402 ,종로구,1,652,39,547,41,658,535,1,500,3,292,347
202403 ,종로구,1,669,39,245,41,364,537,1,486,3,271,346
202404 ,종로구,1,671,39,239,41,291,536,1,482,3,267,347
202405 ,종로구,1,672,39,240,41,295,535,1,479,3,262,347
202406 ,종로구,1,626,39,242,41,191,535,1,463,3,245,344
202407 ,종로구,1,654,39,237,41,309,533,1,447,3,229,339
202408 ,종로구,1,654,39,236,41,287,540,1,432,3,221,340
202409 ,종로구,1,640,39,240,41,292,516,1,425,3,190,340
202410 ,종로구,1,634,39,236,41,215,512,1,411,3,172,337
202411 ,종로구,1,634,39,239,41,175,516,1,410,3,178,337
202412 ,종로구,1,647,39,254,41,163,508,1,396,3,158,337
202501 ,종로구,1,695,39,241,41,239,498,1,379,3,128,335
202502 ,종로구,1,695,39,240,41,286,497,1,367,3,117,336
202503 ,종로구,1,692,39,241,41,211,479,1,360,3,91,335
202504 ,종로구,1,693,39,239,41,160,480,1,349,3,83,334
202505 ,종로구,1,724,39,243,41,143,480,1,328,3,60,334
202506 ,종로구,1,753,39,242,41,91,481,1,320,3,53,334
202507 ,종로구,1,709,39,244,41,20,480,1,308,3,39,333
202508 ,종로구,1,716,38,241,40,935,478,1,308,3,37,334
202509 ,종로구,1,693,39,242,40,942,433,1,299,2,983,335
202510 ,종로구,1,689,39,243,40,943,443,1,292,2,986,335
202511 ,종로구,1,673,39,244,40,941,442,1,285,2,978,334
