년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,중구,285,48,37,83,51,405,1,962,270,992,183,4
202112 ,중구,280,47,592,16,50,888,1,942,266,969,184,5
202201 ,중구,278,47,268,960,50,506,1,921,262,928,184,5
202202 ,중구,278,47,31,904,50,213,1,913,262,947,183,4
202203 ,중구,277,46,779,853,49,909,1,905,264,943,182,4
202204 ,중구,276,46,465,824,49,565,1,893,261,929,181,4
202205 ,중구,276,46,190,789,49,255,1,893,260,911,183,4
202206 ,중구,277,45,842,729,48,848,1,887,261,906,187,4
202207 ,중구,277,45,561,682,48,520,1,880,255,892,187,4
202208 ,중구,283,45,397,663,48,343,1,880,228,866,185,4
202209 ,중구,284,45,544,47,48,875,1,887,228,873,185,5
202210 ,중구,288,45,313,3,48,604,1,880,230,865,181,5
202211 ,중구,289,45,278,958,48,525,1,874,241,875,181,5
202212 ,중구,298,44,948,880,48,126,1,868,228,871,184,5
202301 ,중구,292,44,703,833,47,828,1,856,219,847,181,5
202302 ,중구,286,44,627,817,47,730,1,854,223,860,180,5
202303 ,중구,284,44,504,751,47,539,1,842,223,861,177,5
202304 ,중구,288,44,453,686,47,427,1,848,224,889,180,5
202305 ,중구,287,44,273,992,46,552,1,846,218,926,182,5
202306 ,중구,287,44,38,908,46,233,1,853,218,933,183,5
202307 ,중구,297,43,839,851,45,987,1,842,224,932,183,5
202308 ,중구,296,43,676,777,45,749,1,838,222,846,183,5
202309 ,중구,298,43,451,714,45,463,1,841,219,847,183,5
202310 ,중구,304,43,215,628,45,147,1,837,219,841,184,5
202311 ,중구,300,42,994,576,44,870,1,826,216,847,181,5
202312 ,중구,298,42,868,533,44,699,1,817,213,892,180,5
202401 ,중구,298,42,612,507,44,417,1,810,222,894,178,5
202402 ,중구,296,42,428,482,44,206,1,803,217,881,176,5
202403 ,중구,297,42,304,764,44,365,1,793,228,882,176,5
202404 ,중구,299,42,92,733,44,124,1,791,232,883,175,5
202405 ,중구,299,41,871,709,43,879,1,779,231,868,176,5
202406 ,중구,299,41,700,692,43,691,1,778,233,870,176,5
202407 ,중구,301,41,533,655,43,489,1,753,229,838,176,5
202408 ,중구,301,41,335,605,43,241,1,747,231,835,177,5
202409 ,중구,298,41,293,562,43,153,1,745,232,835,176,5
202410 ,중구,298,41,192,500,42,990,1,736,230,778,175,5
202411 ,중구,294,40,977,71,43,342,1,740,249,800,170,4
202412 ,중구,296,40,747,957,43,0,1,729,251,791,175,4
202501 ,중구,299,40,566,867,42,732,1,720,247,779,175,4
202502 ,중구,295,40,307,685,42,287,1,719,247,779,175,4
202503 ,중구,288,40,199,657,42,144,1,703,248,764,175,4
202504 ,중구,288,40,22,607,41,917,1,698,250,759,175,4
202505 ,중구,289,39,788,545,41,622,1,696,241,747,177,4
202506 ,중구,288,39,646,488,41,422,1,685,243,737,177,4
202507 ,중구,288,39,377,424,41,89,1,681,264,756,178,4
202508 ,중구,287,39,199,396,40,882,1,681,262,754,179,4
202509 ,중구,285,39,429,305,41,19,1,674,298,783,180,4
202510 ,중구,287,39,256,266,40,809,1,662,299,804,179,4
202511 ,중구,286,39,183,241,40,710,1,655,297,793,176,4
