년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,중랑구,78,88,967,742,94,787,3,608,556,197,126,11
202112 ,중랑구,79,89,13,784,94,876,3,591,553,178,127,11
202201 ,중랑구,80,89,329,742,95,151,3,588,549,171,125,11
202202 ,중랑구,80,89,569,719,95,368,3,581,548,163,119,11
202203 ,중랑구,78,89,676,718,95,472,3,564,544,142,117,11
202204 ,중랑구,78,89,793,730,95,601,3,555,544,133,118,11
202205 ,중랑구,78,89,938,762,95,778,3,548,545,128,118,11
202206 ,중랑구,77,90,129,759,95,965,3,526,546,107,119,11
202207 ,중랑구,77,90,292,800,96,169,3,512,546,93,119,11
202208 ,중랑구,79,90,350,830,96,259,3,509,554,101,119,11
202209 ,중랑구,80,90,425,861,96,366,3,491,551,81,120,11
202210 ,중랑구,81,90,415,866,96,362,3,474,545,58,121,11
202211 ,중랑구,81,90,559,869,96,509,3,462,546,46,121,11
202212 ,중랑구,80,90,730,938,96,748,3,440,546,21,121,11
202301 ,중랑구,80,90,969,956,97,5,3,431,541,7,119,11
202302 ,중랑구,80,91,64,975,97,119,3,418,542,994,118,11
202303 ,중랑구,80,91,210,984,97,274,3,371,536,941,118,11
202304 ,중랑구,80,91,294,4,97,378,3,354,539,926,118,11
202305 ,중랑구,80,91,367,990,97,437,3,328,539,900,118,11
202306 ,중랑구,80,91,374,939,97,393,3,305,533,871,123,11
202307 ,중랑구,80,91,380,941,97,401,3,280,534,847,123,11
202308 ,중랑구,82,91,302,921,97,305,3,260,532,825,123,11
202309 ,중랑구,81,91,372,934,97,387,3,234,532,798,124,11
202310 ,중랑구,82,91,317,883,97,282,3,203,531,766,124,11
202311 ,중랑구,82,91,314,903,97,299,3,172,529,733,124,11
202312 ,중랑구,83,91,504,905,97,492,3,151,542,725,121,11
202401 ,중랑구,83,91,639,934,97,656,3,120,558,710,121,11
202402 ,중랑구,83,91,711,919,97,713,3,108,559,699,122,11
202403 ,중랑구,84,91,698,934,97,716,3,67,570,669,122,11
202404 ,중랑구,84,91,736,906,97,726,3,52,573,658,122,11
202405 ,중랑구,78,91,873,903,97,854,3,51,571,655,121,11
202406 ,중랑구,78,91,898,959,97,935,3,32,571,636,121,11
202407 ,중랑구,78,91,962,976,98,16,2,999,570,602,122,11
202408 ,중랑구,78,91,894,967,97,939,2,968,580,581,125,11
202409 ,중랑구,78,91,897,957,97,932,2,948,580,561,125,11
202410 ,중랑구,78,91,798,958,97,834,2,925,568,526,122,11
202411 ,중랑구,78,91,753,971,97,802,2,900,568,501,123,11
202412 ,중랑구,78,91,673,10,97,761,2,887,576,496,122,11
202501 ,중랑구,78,91,625,8,97,711,2,872,579,484,121,11
202502 ,중랑구,79,91,434,19,97,532,2,856,579,468,121,11
202503 ,중랑구,80,91,335,34,97,449,2,837,582,452,121,11
202504 ,중랑구,80,91,352,53,97,485,2,819,580,431,123,11
202505 ,중랑구,80,91,225,929,97,234,2,803,585,420,123,11
202506 ,중랑구,80,91,269,905,97,254,2,771,586,389,123,11
202507 ,중랑구,80,91,320,935,97,335,2,748,588,368,123,11
202508 ,중랑구,80,91,317,922,97,319,2,734,589,355,123,11
202509 ,중랑구,79,91,343,958,97,380,2,711,586,329,122,11
202510 ,중랑구,79,91,332,950,97,361,2,689,584,305,123,11
202511 ,중랑구,79,91,403,934,97,416,2,679,582,293,123,11
